"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"	"series"	"title1"	"rn"	"to_rating"	"sh"	"bb"
"67"	67	67	"Madagascar 3: Europe's Most Wanted"	"P/DW"	746.9	216.4	530.5	2012	"Animation"	"PG"	4263	6.9	"Animation"	""	60.3	93	19	"Eric Darnell"	"Tom McGrath"	"Ben Stiller"	"Chris Rock"	"ss"	145	1	"madagascar3:europe'smostwanted"	0	0	0	1.49
"68"	68	68	"The Chronicles of Narnia: The Lion the Witch and the Wardrobe"	"BV"	745	291.7	453.3	2005	"Fantasy"	"PG"	3853	6.9	"Fantasy"	""	65.6	132	22	"Andrew Adamson"	""	"Georgie Henley"	"Skandar Keynes"	"hs"	180	1	"thechroniclesofnarnia:thelionthewitchandthewardrobe"	210	64	0	1.62
"69"	69	69	"Monsters University"	"BV"	743.6	268.5	475.1	2013	"Animation"	"G"	4004	7.4	"Animation"	""	82.4	107	26	"Dan Scanlon"	""	"Billy Crystal"	"John Goodman"	"ss"	NA	0	"monstersuniversity"	0	0	0	NA
"70"	70	70	"The Matrix Reloaded"	"WB"	742.1	281.6	460.6	2003	"Sci-Fi Action"	"R"	3603	7.2	"Sci-Fi"	"Action"	91.8	138	26.1	"Lana Wachowski"	"Lilly Wachowski"	"Ray Anthony"	"Christine Anu"	"ns"	150	0	"thematrixreloaded"	238	61	0	1.88
"71"	71	71	"Up"	"BV"	731.3	293	438.3	2009	"Animation"	"PG"	3886	8.3	"Animation"	""	68.1	96	23	"Pete Docter"	"Bob Peterson"	"Edward Asner"	"Christopher Plummer"	"ss"	175	0	"up"	48	85	0	1.67
"72"	72	72	"Gravity"	"WB"	723.2	274.1	449.1	2013	"Sci-Fi Thriller"	"PG-13"	3820	7.9	"Sci-Fi"	"Thriller"	55.8	91	31	"Alfonso Cuar¨®n"	""	"Sandra Bullock"	"George Clooney"	"ns"	100	0	"gravity"	306	86	0	2.74
"73"	73	73	"Captain America: The Winter Soldier"	"BV"	714.4	259.8	454.7	2014	"AA"	"PG-13"	3938	7.8	"AA"	""	95	136	20	"Anthony Russo"	"Joe Russo"	"Chris Evans"	"Samuel L. Jackson"	"ns"	170	1	"captainamerica:thewintersoldier"	254	78	1	1.53
"74"	74	74	"The Twilight Saga: Breaking Dawn Part 1"	"Sum."	712.2	281.3	430.9	2011	"Romance"	"PG-13"	4066	4.9	"Romance"	""	138.1	108	14	"Bill Condon"	""	"Taylor Lautner"	"Gil Birmingham"	"ns"	110	1	"thetwilightsaga:breakingdawnpart1"	0	0	0	2.56
"75"	75	75	"Dawn of the Planet of the Apes"	"Fox"	710.6	208.5	502.1	2014	"Sci-Fi Action"	"PG-13"	3969	7.6	"Sci-Fi"	"Action"	72.6	130	21	"Matt Reeves"	""	"Andy Serkis"	"Jason Clarke"	"ss"	170	0	"dawnoftheplanetoftheapes"	268	79	0	1.23
"76"	76	76	"The Twilight Saga: New Moon"	"Sum."	709.7	296.6	413.1	2009	"Romance"	"PG-13"	4124	4.6	"Romance"	""	142.8	130	19	"Chris Weitz"	""	"Kristen Stewart"	"Christina Jastrzembska"	"hs"	50	1	"thetwilightsaga:newmoon"	0	0	0	5.93
"77"	77	77	"Transformers"	"P/DW"	709.7	319.2	390.5	2007	"Sci-Fi Action"	"PG-13"	4050	7.1	"Sci-Fi"	"Action"	NA	143	NA	"Michael Bay"	""	"Shia LaBeouf"	"Megan Fox"	"ss"	150	0	"transformers"	0	0	0	2.13
"78"	78	78	"The Amazing Spider-Man 2"	"Sony"	709	202.9	506.1	2014	"AA"	"PG-13"	4324	6.8	"AA"	""	91.6	142	15.4	"Marc Webb"	""	"Andrew Garfield"	"Emma Stone"	"ns"	NA	1	"theamazingspiderman2"	0	0	3	NA
"79"	79	79	"The Twilight Saga: Eclipse"	"Sum."	698.5	300.5	398	2010	"Romance"	"PG-13"	4468	4.9	"Romance"	""	64.8	124	16.3	"David Slade"	""	"Xavier Samuel"	"Kristen Stewart"	"ss"	68	1	"thetwilightsaga:eclipse"	0	0	0	4.42
"80"	80	80	"Mission: Impossible - Ghost Protocol"	"Par."	694.7	209.4	485.3	2011	"Action"	"PG-13"	NA	7.4	"Action"	""	NA	132	NA	"Brad Bird"	""	"Tom Cruise"	"Paula Patton"	"hs"	145	1	"mission:impossibleghostprotocol"	230	82	0	1.44
"81"	81	81	"The Hunger Games"	"LGF"	694.4	408	286.4	2012	"AA"	"PG-13"	4137	7.3	"AA"	""	152.5	142	24	"Gary Ross"	""	"Stanley Tucci"	"Wes Bentley"	"ns"	78	0	"thehungergames"	278	73	0	5.23
"82"	82	82	"Mission: Impossible - Rogue Nation"	"Par."	682.3	195	487.3	2015	"Action"	"PG-13"	3988	7.5	"Action"	""	55.5	130	13	"Christopher McQuarrie"	""	"Tom Cruise"	"Jeremy Renner"	"ss"	150	1	"mission:impossibleroguenation"	263	82	0	1.3
"83"	83	83	"Forrest Gump"	"Par."	677.9	330.3	347.7	1994	"Comedy / Drama"	"PG-13"	NA	8.8	"Comedy"	"Drama"	NA	141	NA	"Robert Zemeckis"	""	"Tom Hanks"	"Rebecca Williams"	"ss"	55	0	"forrestgump"	83	60	0	6.01
"84"	84	84	"Interstellar"	"Par."	675.1	188	487.1	2014	"Sci-Fi Adventure"	"PG-13"	NA	8.6	"Sci-Fi"	"Adventure"	NA	169	NA	"Christopher Nolan"	""	"Ellen Burstyn"	"Matthew McConaughey"	"ns"	165	0	"interstellar"	0	0	0	1.14
"85"	85	85	"The Sixth Sense"	"BV"	672.8	293.5	379.3	1999	"Horror"	"PG-13"	2821	8.1	"Horror"	""	NA	107	NA	"M. Night Shyamalan"	""	"Bruce Willis"	"Haley Joel Osment"	"ss"	40	0	"thesixthsense"	149	74	0	7.34
"86"	86	86	"Man of Steel"	"WB"	668	291	377	2013	"AA"	"PG-13"	4207	7.2	"AA"	""	116.6	143	14	"Zack Snyder"	""	"Henry Cavill"	"Amy Adams"	"ss"	225	0	"manofsteel"	0	0	2	1.29
"87"	87	87	"Kung Fu Panda 2"	"P/DW"	665.7	165.2	500.4	2011	"Animation"	"PG"	NA	7.3	"Animation"	""	NA	91	NA	"Jennifer Yuh Nelson"	""	"Jack Black"	"Angelina Jolie"	"ss"	150	1	"kungfupanda2"	167	70	0	1.1
"88"	88	88	"Ice Age: The Meltdown"	"Fox"	660.9	195.3	465.6	2006	"Animation"	"PG"	3969	6.9	"Animation"	""	68	90	23	"Carlos Saldanha"	""	"Ray Romano"	"John Leguizamo"	"ns"	80	1	"iceage:themeltdown"	0	0	0	2.44
"89"	89	89	"Big Hero 6"	"BV"	657.8	222.5	435.3	2014	"Animation"	"PG"	NA	7.9	"Animation"	""	NA	108	NA	"Don Hall"	"Chris Williams"	"Scott Adsit"	"Ryan Potter"	"ns"	165	1	"bighero6"	193	78	1	1.35
