"rank" "title" "studio" "worldwide" "domestic" "overseas" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "per" "budget" "series" "rn" "to_rating" "sh" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"82" 82 "Mission: Impossible - Rogue Nation" "Par." 682.3 195 487.3 2015 "Action" "PG-13" 3988 7.5 "Action" "" 55.5 130 13 "Christopher McQuarrie" "ss" 150 1 263 82 0 1.3 70 24.24 6.9 18.64 8 3 39 30 "76" 53
"83" 83 "Forrest Gump" "Par." 677.9 330.3 347.7 1994 "Comedy / Drama" "PG-13" NA 8.8 "Comedy" "Drama" NA 141 NA "Robert Zemeckis" "ss" 55 0 83 60 0 6.01 47 61.14 NA 10.18 33 33 76 NA "115" NA
"84" 84 "Interstellar" "Par." 675.1 188 487.1 2014 "Sci-Fi Adventure" "PG-13" NA 8.6 "Sci-Fi" "Adventure" NA 169 NA "Christopher Nolan" "ns" 165 0 0 0 0 1.14 69 23.7 NA 20.8 121 160 32 42 "49" 75
"85" 85 "The Sixth Sense" "BV" 672.8 293.5 379.3 1999 "Horror" "PG-13" 2821 8.1 "Horror" "" NA 107 NA "M. Night Shyamalan" "ss" 40 0 149 74 0 7.34 54 47.29 NA 6.44 12 36 21 25 "37" 28
"86" 86 "Man of Steel" "WB" 668 291 377 2013 "AA" "PG-13" 4207 7.2 "AA" "" 116.6 143 14 "Zack Snyder" "ss" 225 0 0 0 2 1.29 68 37.23 14.92 28.79 3 7 1 54 "5" 146
"87" 87 "Kung Fu Panda 2" "P/DW" 665.7 165.2 500.4 2011 "Animation" "PG" NA 7.3 "Animation" "" NA 91 NA "Jennifer Yuh Nelson" "ss" 150 1 167 70 0 1.1 66 21.78 NA 19.77 4 6 8 47 "43" 93
"88" 88 "Ice Age: The Meltdown" "Fox" 660.9 195.3 465.6 2006 "Animation" "PG" 3969 6.9 "Animation" "" 68 90 23 "Carlos Saldanha" "ns" 80 1 0 0 0 2.44 61 27.85 9.7 11.41 2 12 15 12 "48" 20
"89" 89 "Big Hero 6" "BV" 657.8 222.5 435.3 2014 "Animation" "PG" NA 7.9 "Animation" "" NA 108 NA "Don Hall" "ns" 165 1 193 78 1 1.35 69 28.05 NA 20.8 5 7 1 0 "12" 3
"90" 90 "Pirates of the Caribbean: The Curse of the Black Pearl" "BV" 654.3 305.4 348.9 2003 "Period Adventure" "PG-13" 3416 8.1 "Period" "Adventure" 46.6 135 26.3 "Gore Verbinski" "ss" 140 1 208 67 0 2.18 58 45.81 6.99 21 7 10 65 43 "115" 75
"91" 91 "The Hunger Games: Mockingjay - Part 2" "LGF" 653 281.7 371.2 2015 "AA" "PG-13" NA 7 "AA" "" NA 137 NA "Francis Lawrence" "hs" 160 1 0 0 0 1.76 70 35.01 NA 19.89 3 5 106 16 "157" 20
"92" 92 "Star Wars: Episode II - Attack of the Clones" "Fox" 649.4 310.7 338.7 2002 "Sci-Fi Fantasy" "PG" 3161 6.7 "Sci-Fi" "Fantasy" 80 132 24.6 "George Lucas" "ns" 115 1 0 0 0 2.7 57 47.42 12.21 17.55 40 31 24 58 "38" 85
"93" 93 "Thor: The Dark World" "BV" 644.6 206.4 438.2 2013 "AA" "PG-13" 3841 7.1 "AA" "" 85.7 120 23 "Alan Taylor" "ns" 170 1 0 0 0 1.21 68 26.41 10.96 21.75 6 8 9 58 "21" 85
"94" 94 "Kung Fu Panda" "P/DW" 631.7 215.4 416.3 2008 "Animation" "PG" NA 7.6 "Animation" "" NA 91 NA "Mark Osborne" "ss" 130 0 178 76 0 1.66 63 29.75 NA 17.95 15 5 8 58 "43" 49
"95" 95 "The Incredibles" "BV" 631.4 261.4 370 2004 "Animation" "PG" 3933 8 "Animation" "" 70.5 115 23 "Brad Bird" "ns" 92 0 233 86 1 2.84 59 38.55 10.4 13.57 30 25 5 38 "16" 52
"96" 96 "Fast Five" "Uni." 626.1 209.8 416.3 2011 "Action" "PG-13" 3793 7.3 "Action" "" 86.2 130 15 "Justin Lin" "ns" 125 0 0 0 0 1.68 66 27.66 11.36 16.48 3 6 7 7 "26" 11
"97" 97 "Hancock" "Sony" 624.4 227.9 396.4 2008 "Fantasy Drama" "PG-13" 3965 6.4 "Fantasy" "Drama" 62.6 92 10.3 "Peter Berg" "ss" 150 0 0 0 3 1.52 63 31.47 8.64 20.71 1 15 56 51 "106" 87
"98" 98 "MIB 3" "Sony" 624 179 445 2012 "Sci-Fi Comedy" "PG-13" NA 6.8 "Sci-Fi" "Comedy" NA 106 NA "Barry Sonnenfeld" "ss" 108 1 0 0 0 1.66 67 23.24 NA 14.02 7 7 56 40 "106" 89
"99" 99 "Iron Man 2" "Par." 623.9 312.4 311.5 2010 "AA" "PG-13" 4248 7 "AA" "" 54.6 125 15.4 "Jon Favreau" "ns" 225 1 276 60 5 1.39 65 41.81 7.31 30.12 3 8 33 23 "91" 48
"100" 100 "Ratatouille" "BV" 623.7 206.4 417.3 2007 "Animation" "PG-13" 4390 8 "Animation" "" NA 111 NA "Brad Bird" "ss" 200 0 238 85 0 1.03 62 28.96 NA 28.06 30 25 3 21 "17" 22
"101" 101 "How to Train Your Dragon 2" "Fox" 621.5 177 444.5 2014 "Animation" "G" 3940 7.9 "Animation" "" 47 105 24 "Dean DeBlois" "ss" 150 1 161 80 0 1.18 69 22.32 5.93 18.91 7 22 5 144 "10" 177
"102" 102 "The Martian" "Fox" 619.7 228.3 391.4 2015 "Sci-Fi" "PG" 4268 8.1 "Sci-Fi" "" 49.5 141 26 "Ridley Scott" "ns" 145 0 293 81 0 1.57 70 28.37 6.15 18.02 31 87 34 70 "122" 94
"103" 103 "The Lost World: Jurassic Park" "Uni." 618.6 229.1 389.6 1997 "Sci-Fi Horror" "PG-13" 3565 6.5 "Sci-Fi" "Horror" NA 129 NA "Steven Spielberg" "ss" 73 1 0 0 0 3.14 52 38.33 NA 12.21 175 168 9 107 "24" 148
"104" 104 "The Passion of the Christ" "NM" 611.9 370.8 241.1 2004 "Historical Drama" "R" 3408 7.1 "Historical" "Drama" 83.8 126 22.3 "Mel Gibson" "ns" 30 0 0 0 0 12.36 59 54.68 12.36 4.42 32 30 4 6 "6" 0
"105" 105 "Mamma Mia!" "Uni." 609.8 144.1 465.7 2008 "Musical" "PG-13" NA 6.3 "Musical" "" NA 108 NA "Phyllida Lloyd" "ss" 52 0 0 0 0 2.77 63 19.9 NA 7.18 2 3 7 9 "16" 14
