rank	reviewnum	title	tomato_rating
47.	56	The Horse Whisperer (1998)	73%
48.	84	Enemy of the State (1998)	71%
49.	43	High Art (1998)	72%
50.	56	Last Days of Disco (1998)	71%
51.	83	You've Got Mail (1998)	69%
52.	49	Wilde (1998)	71%
53.	45	Return to Paradise (1998)	71%
54.	60	Ronin (1998)	68%
55.	61	The Wedding Singer (1998)	67%
56.	79	Rounders (1998)	65%
57.	69	The X-Files - Fight the Future (1998)	64%
58.	52	Hideous Kinky (1998)	65%
59.	58	Wild Things (1998)	64%
60.	52	Clay Pigeons (1998)	63%
61.	51	Kurt and Courtney (1998)	63%
62.	49	Sliding Doors (1998)	63%
63.	61	Babe: Pig in the City (1998)	62%
64.	70	Rush Hour (1998)	60%
65.	68	A Civil Action (1998)	60%
66.	53	Playing by Heart (1998)	60%
67.	52	Permanent Midnight (1998)	60%
68.	61	City of Angels (1998)	59%
69.	54	Twilight (1998)	59%
70.	49	The Rugrats Movie (1998)	59%
71.	93	Blade (1998)	54%
72.	67	Star Trek: Insurrection (1998)	55%
73.	41	Velvet Goldmine (1998)	56%
74.	69	What Dreams May Come (1998)	54%
75.	51	A Perfect Murder (1998)	55%
76.	54	Why Do Fools Fall In Love (1998)	54%
77.	50	The Faculty (1998)	54%
78.	55	Apt Pupil (Un _l¨¨ve Dou¨¦) (1998)	53%
79.	66	Lethal Weapon 4 (1998)	52%
80.	60	Two Girls and a Guy (1998)	52%
81.	46	Mighty Joe Young (1998)	52%
82.	44	Pecker (1998)	52%
83.	57	Halloween H2O (1998)	51%
84.	65	Fear and Loathing in Las Vegas (1998)	49%
85.	42	Dance with Me (1998)	50%
86.	49	The Object of My Affection (1998)	49%
87.	47	The Corruptor (1998)	49%
88.	52	Deep Impact (1998)	48%
89.	48	How Stella Got Her Groove Back (1998)	48%
90.	44	Small Soldiers (1998)	48%
91.	60	The Siege (1998)	45%
92.	55	Stepmom (1998)	44%
93.	52	Very Bad Things (1998)	44%
94.	115	Armageddon (1998)	39%
95.	51	Dr. Dolittle (1998)	43%
96.	50	BASEketball (1998)	42%
97.	65	Snake Eyes (1998)	40%
98.	58	Can't Hardly Wait (1998)	40%
99.	76	Psycho (1998)	37%
100.	75	The Waterboy (1998)	35%
1.	163	Toy Story 2 (1999)	100%
2.	134	The Iron Giant (1999)	96%
3.	132	The Insider (1999)	96%
4.	81	Todo sobre mi madre (All About My Mother) (1999)	98%
5.	40	"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)"	100%
6.	129	Three Kings (1999)	94%
7.	89	The Straight Story (1999)	96%
8.	123	Being John Malkovich (1999)	93%
9.	105	Princess Mononoke (1999)	92%
10.	104	Election (1999)	92%
11.	180	American Beauty (1999)	88%
12.	80	The Limey (1999)	93%
13.	80	Run Lola Run (1999)	93%
14.	47	American Movie (1999)	94%
15.	115	Galaxy Quest (1999)	90%
16.	72	Go (1999)	92%
17.	141	The Matrix (1999)	87%
18.	155	The Blair Witch Project (1999)	86%
19.	73	October Sky (1999)	90%
20.	104	Tarzan (1999)	88%
21.	84	Topsy-Turvy (1999)	89%
22.	44	Buena Vista Social Club (1999)	91%
23.	149	The Sixth Sense (1999)	85%
24.	40	Show Me Love (1999)	90%
25.	40	Girl on the Bridge (La Fille sur le Pont) (1999)	90%
26.	76	Boys Don't Cry (1999)	88%
27.	53	Himalaya (L'Enfance d'un Chef) (Caravan) (1999)	89%
28.	141	Magnolia (1999)	84%
29.	41	Felicia's Journey (1999)	88%
30.	127	The Talented Mr. Ripley (1999)	83%
31.	46	Liberty Heights (1999)	87%
32.	56	Cookie's Fortune (1999)	86%
33.	113	The Hurricane (1999)	83%
34.	65	An Ideal Husband (1999)	85%
35.	42	Trekkies (1999)	86%
36.	98	Notting Hill (1999)	83%
