Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
72,72,Gravity,WB,723.2,274.1,449.1,2013,"October 4, 2013",Sci-Fi Thriller, 1 hrs. 31 min.,PG-13,100 ,55785112,217 days / 31 weeks,Alfonso Cuaron,George ClooneySandra Bullock,3820,7.9
73,73,Captain America: The Winter Soldier,BV,714.4,259.8,454.7,2014,"April 4, 2014",Action / Adventure, 2 hrs. 16 min.,PG-13,170 ,95023721,140 days / 20 weeks,Anthony RussoJoe Russo,Chris EvansScarlett JohanssonSamuel L. JacksonRobert RedfordSebastian StanAnthony MackieCobie SmuldersFrank GrilloHayley AtwellEmily VanCamp*Toby Jones*,3938,7.8
74,74,The Twilight Saga: Breaking Dawn Part 1,Sum.,712.2,281.3,430.9,2011,"November 18, 2011",Romance, 1 hrs. 48 min.,PG-13,110 ,138122261,98 days / 14 weeks,Bill Condon,Robert PattinsonKristen StewartTaylor LautnerAshley GreeneBilly BurkePeter FacinelliElizabeth ReaserNikki ReedKellan LutzJackson RathboneMaggie Grace*Anna Kendrick*Michael Sheen*,4066,4.9
75,75,Dawn of the Planet of the Apes,Fox,710.6,208.5,502.1,2014,"July 11, 2014",Sci-Fi Action, 2 hrs. 10 min.,PG-13,170 ,72611427,147 days / 21 weeks,Matt Reeves,Andy SerkisJason ClarkeGary OldmanKeri RussellKodi Smit-McPheeJudy Greer*,3969,7.6
76,76,The Twilight Saga: New Moon,Sum.,709.7,296.6,413.1,2009,"November 20, 2009",Romance, 2 hrs. 10 min.,PG-13,50 ,142839137,133 days / 19 weeks,Chris Weitz,Kristen StewartRobert PattinsonTaylor LautnerBilly BurkeAshley GreenePeter FacinelliElizabeth ReaserJackson RathboneKellan LutzMichael SheenDakota Fanning*Anna Kendrick*Cam Gigandet*,4124,4.6
77,77,Transformers,P/DW,709.7,319.2,390.5,2007,"July 3, 2007",Sci-Fi Action, 2 hrs. 23 min.,PG-13,150 ,70502384,Michael Bay,Alex KurtzmanRoberto Orci,Michael Bay (executive)Ian BryceTom DeSantoLorenzo di BonaventuraDon MurphySteven Spielberg (executive)Mark Vahradian (executive),4050,7.1
78,78,The Amazing Spider-Man 2,Sony,709.0,202.9,506.1,2014,"May 2, 2014",Action / Adventure, 2 hrs. 22 min.,PG-13,,91608337,108 days / 15.4 weeks,Marc Webb,Andrew GarfieldEmma StoneJamie FoxxDane DeHaanSally FieldPaul GiamattiChris CooperFelicity Jones*,4324,6.8
79,79,The Twilight Saga: Eclipse,Sum.,698.5,300.5,398.0,2010,"June 30, 2010",Romance, 2 hrs. 4 min.,PG-13,68 ,64832191,114 days / 16.3 weeks,David Slade,Kristen StewartRobert PattinsonTaylor LautnerAshley GreeneBilly BurkePeter FacinelliElizabeth ReaserNikki ReedKellan LutzJackson RathboneDakota FanningCameron Bright*Bryce Dallas Howard*Catalina Sandino Moreno*Anna Kendrick*Sarah Clarke*Xavier Samuel,4468,4.9
80,80,Mission: Impossible - Ghost Protocol,Par.,694.7,209.4,485.3,2011,"December 16, 2011",Action, 2 hrs. 12 min.,PG-13,145 ,"December 16 2011 (limited)
 December 21 2011 (wide)",,,,,7.4
81,81,The Hunger Games,LGF,694.4,408,286.4,2012,"March 23, 2012",Action / Adventure, 2 hrs. 22 min.,PG-13,78 ,152535747,168 days / 24 weeks,Gary Ross,Jennifer LawrenceJosh HutchersonLiam HemsworthElizabeth BanksWes BentleyStanley TucciWoody HarrelsonLenny KravitzToby Jones,4137,7.3
