Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
422,422,We're the Millers,WB (NL),270.0,150.4,119.6,2013,"August 7, 2013",Comedy, 1 hrs. 50 min.,R,37 ,26419396,121 days / 17.3 weeks,Rawson Marshall Thurber,Chris BenderJ.C. Spink (executive)Tucker Tooley,3445,7.0
423,423,Gran Torino,WB,270.0,148.1,121.9,2008,"December 12, 2008",Action Drama, 1 hrs. 56 min.,R,33 ,"December 12 2008 (limited)
 January 9 2009 (wide)",,,,,8.2
424,424,10000 B.C.,WB,269.8,94.8,175.0,2008,"March 7, 2008",Period Adventure, 1 hrs. 49 min.,PG-13,105 ,35867488,105 days / 15 weeks,Roland Emmerich,Steven StraitCamilla Belle,3454,5.1
425,425,Epic,Fox,268.4,107.5,160.9,2013,"May 24, 2013",Animation, 1 hrs. 42 min.,PG,100 ,33531068,119 days / 17 weeks,Chris Wedge,Beyonce Knowles (Voice)Colin Farrell (Voice)Josh Hutcherson (Voice)Amanda Seyfried (Voice)Aziz Ansari (Voice)Jason Sudeikis (Voice)Steven Tyler (Voice)Blake Anderson (Voice)Judah Friedlander (Voice)Christoph Waltz (Voice),3894,6.7
426,426,Exodus: Gods and Kings,Fox,268.2,65,203.2,2014,"December 12, 2014",Drama, 2 hrs. 30 min.,PG-13,140 ,24115934,77 days / 11 weeks,Ridley Scott,Ewen BremnerChristian BaleJoel EdgertonAaron PaulSigourney WeaverBen KingsleyJohn Turturro,3503,6.1
427,427,Bambi,RKO,267.4,102.2,165.2,1942^,"August 21, 1942",Animation, 1 hrs. 9 min.,G,,,,,,,7.4
428,428,The Princess and the Frog,BV,267.0,104.4,162.6,2009,"November 25, 2009",Animation, 1 hrs. 35 min.,G,105 ,"November 25 2009 (limited)
 December 11 2009 (wide)",,,,,7.2
429,429,Batman Returns,WB,266.8,162.8,104.0,1992,"June 19, 1992",Action / Adventure, 2 hrs. 6 min.,PG-13,80 ,45687711,126 days / 18 weeks,Tim Burton,Michael KeatonDanny DeVitoMichelle PfeifferChristopher Walken,2644,7.0
430,430,Something's Gotta Give,Sony,266.7,124.7,142.0,2003,"December 12, 2003",Romantic Comedy, 2 hrs. 8 min.,PG-13,80 ,16064723,126 days / 18 weeks,Nancy Meyers,Jack NicholsonDiane KeatonKeanu ReevesFrances McDormandAmanda PeetJon Favreau,2876,6.7
431,431,Indecent Proposal,Par.,266.6,106.6,160.0,1993,"April 9, 1993",Romance, 1 hrs. 56 min.,R,,18387632,,,,,5.8
432,432,American Gangster,Uni.,266.5,130.2,136.3,2007,"November 2, 2007",Crime Drama, 2 hrs. 40 min.,R,100 ,43565115,91 days / 13 weeks,Ridley Scott,Denzel WashingtonRussell CroweJosh BrolinChiwetel EjioforCarla GuginoT.I.RZACommonIdris Elba,3110,7.8
433,433,Waterworld,Uni.,264.2,88.2,176.0,1995,"July 28, 1995",Sci-Fi Adventure, 2 hrs. 16 min.,PG-13,175 ,21171780,David Twohy,Jack Black*Kevin Costner,James Newton Howard,2420,6.1
434,434,The Truman Show,Par.,264.1,125.6,138.5,1998,"June 5, 1998",Comedy / Drama, 1 hrs. 43 min.,PG,,31542121,,,,,8.1
435,435,Charlie's Angels,Sony,264.1,125.3,138.8,2000,"November 3, 2000",Action Comedy, 1 hrs. 38 min.,PG-13,93 ,40128550,McG,John AugustEd Solomon,Ed Shearmur,3037,5.5
436,436,The Fifth Element,Sony,263.9,63.8,200.1,1997,"May 9, 1997",Sci-Fi Action, 2 hrs. 6 min.,PG-13,,263920180,,,,,7.6
437,437,The Incredible Hulk,Uni.,263.4,134.8,128.6,2008,"June 13, 2008",Action / Adventure, 1 hrs. 54 min.,PG-13,150 ,55414050,Louis Leterrier,Zak Penn,Avi AradKevin FeigeGale Anne HurdStan Lee (executive)David Maisel (executive)Jim Van Wyck (executive),3508,6.8
438,438,Jumanji,Sony,262.8,100.5,162.3,1995,"December 15, 1995",Family Adventure, 1 hrs. 44 min.,PG,65 ,11084370,Jonathan Hensleigh,Robin WilliamsKirsten DunstBonnie Hunt,Thomas E. Ackerman,2530,6.9
439,439,Bridget Jones: The Edge of Reason,Uni.,262.5,40.2,222.3,2004,"November 12, 2004",Romantic Comedy, 1 hrs. 48 min.,R,40 ,"November 12 2004 (limited)
 November 19 2004 (wide)",,,,,5.9
440,440,Knight & Day,Fox,261.9,76.4,185.5,2010,"June 23, 2010",Comedy, 2 hrs. 10 min.,PG-13,117 ,20139985,107 days / 15.3 weeks,James Mangold,Todd GarnerArnon Milchan (executive)Steve PinkJoe Roth (executive),3104,6.3
441,441,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,261.6,128.5,133.1,2006,"November 3, 2006",Comedy, 1 hrs. 24 min.,R,18 ,26455463,147 days / 21 weeks,Larry Charles,Sacha Baron Cohen,2611,7.3
442,442,Total Recall,Sony,261.3,119.4,141.9,1990^,"June 1, 1990",Sci-Fi Action, 1 hrs. 53 min.,R,65 ,261317921,,,,,7.5
443,443,Michael Jackson's This Is It,Sony,261.2,72.1,189.1,2009,"October 28, 2009",Concert, 2 hrs. 1 min.,PG,,23234394,,,,,7.3
444,444,Robots,Fox,260.7,128.2,132.5,2005,"March 11, 2005",Animation, 1 hrs. 30 min.,PG,75 ,36045301,182 days / 26 weeks,Carlos Saldanha (co-director)Chris Wedge,Ewan McGregor (Voice)Halle Berry (Voice)Greg Kinnear (Voice)Amanda Bynes (Voice)Robin Williams (Voice)Jim Broadbent (Voice)Stanley Tucci* (Voice)Jennifer Coolidge* (Voice)Paul Giamatti*,3776,6.3
445,445,The Lone Ranger,BV,260.5,89.3,171.2,2013,"July 3, 2013",Western, 2 hrs. 29 min.,PG-13,215 ,29210849,100 days / 14.3 weeks,Gore Verbinski,Johnny DeppArmie HammerWilliam FichtnerTom WilkinsonRuth WilsonHelena Bonham CarterJames Badge DaleBarry Pepper,3904,6.5
446,446,Super 8,Par.,260.1,127,133.1,2011,"June 10, 2011",Sci-Fi, 1 hrs. 52 min.,PG-13,50 ,35451168,112 days / 16 weeks,J.J. Abrams,Kyle ChandlerElle FanningNoah Emmerich,3424,7.1
447,447,Paddington,W/Dim.,259.6,76.3,183.3,2015,"January 16, 2015",Family, 1 hrs. 35 min.,PG,55 ,18966676,Paul King,Paul King,David Heyman,3355,7.2
448,448,Charlie's Angels: Full Throttle,Sony,259.2,100.8,158.3,2003,"June 27, 2003",Action Comedy, 1 hrs. 45 min.,PG-13,120 ,37634221,McG,John August,Patrick Crowley (executive),3485,4.8
449,449,Rush Hour 3,NL,258.0,140.1,117.9,2007,"August 10, 2007",Action Comedy, 1 hrs. 30 min.,PG-13,140 ,49100158,98 days / 14 weeks,Brett Ratner,Jackie ChanChris Tucker,3778,6.2
450,450,The Full Monty,FoxS,257.9,46,212.0,1997,"August 15, 1997",Comedy, 1 hrs. 31 min.,R,3.5 ,"August 15 1997 (limited)
 September 19 1997 (wide)",,,,,7.2
451,451,Annabelle,WB (NL),256.9,84.3,172.6,2014,"October 3, 2014",Horror, 1 hrs. 35 min.,R,6.5 ,37134255,77 days / 11 weeks,John R. Leonetti,Alfre Woodard,3215,5.4
452,452,The Village,BV,256.7,114.2,142.5,2004,"July 30, 2004",Period Horror, 1 hrs. 48 min.,PG-13,60 ,50746142,126 days / 18 weeks,M. Night Shyamalan,Joaquin PhoenixBryce Dallas HowardAdrien BrodySigourney WeaverBrendan GleesonJesse EisenbergM. Night Shyamalan*,3733,6.5
453,453,Erin Brockovich,Uni.,256.3,125.6,130.7,2000,"March 17, 2000",Drama, 2 hrs. 10 min.,R,52 ,28138465,Susannah Grant,Aaron EckhartJulia Roberts,Edward Lachman,3070,7.3
454,454,Cliffhanger,TriS,255.0,84,171.0,1993,"May 28, 1993",Action Thriller, 1 hrs. 53 min.,R,70 ,16176967,,,,,6.4
455,455,Babe,Uni.,254.1,63.7,190.5,1995,"August 4, 1995",Family, 1 hrs. 32 min.,G,,8742545,,,,,6.8
456,456,Wild Hogs,BV,253.6,168.3,85.4,2007,"March 2, 2007",Comedy, 1 hrs. 39 min.,PG-13,,39699023,154 days / 22 weeks,Walter Becker,Brian Robbins,3401,5.9
457,457,High School Musical 3: Senior Year,BV,252.9,90.6,162.3,2008,"October 24, 2008",Musical, 1 hrs. 40 min.,G,11 ,42030184,105 days / 15 weeks,Kenny Ortega,Kenny Ortega (executive),3626,4.4
458,458,Hercules,BV,252.7,99.1,153.6,1997,"June 15, 1997",Animation, 1 hrs. 32 min.,G,85 ,"June 15 1997 (limited)
 June 27 1997 (wide)",,,,,7.2
459,459,True Grit,Par.,252.3,171.2,81.0,2010,"December 22, 2010",Western, 1 hrs. 50 min.,PG-13,38 ,24830443,Ethan CoenJoel Coen,Ethan CoenJoel Coen,Ethan CoenJoel CoenDavid Ellison (executive)Megan Ellison (executive)Scott Rudin (executive)Paul Schwake (executive)Steven Spielberg (executive),3464,7.7
460,460,Bean,Gram.,251.2,45.3,205.9,1997,"October 17, 1997",Comedy, 1 hrs. 30 min.,PG-13,18 ,"October 17 1997 (limited)
 November 7 1997 (wide)",,,,,6.3
461,461,American Hustle,Sony,251.2,150.1,101.1,2013,"December 13, 2013",Drama, 2 hrs. 18 min.,R,40 ,"December 13 2013 (limited)
 December 20 2013 (wide)",,,,,7.3
462,462,You've Got Mail,WB,250.8,115.8,135.0,1998,"December 18, 1998",Romantic Comedy, 1 hrs. 59 min.,PG,65 ,18426749,Delia EphronNora Ephron,Tom HanksMeg RyanGreg KinnearParker PoseyChris Messina*,John Lindley,2948,6.5
463,463,Enemy of the State,BV,250.6,111.5,139.1,1998,"November 20, 1998",Action Thriller, 2 hrs. 11 min.,R,90 ,20038573,,,,,7.3
464,464,Brother Bear,BV,250.4,85.3,165.1,2003,"October 24, 2003",Animation, 1 hrs. 25 min.,G,,"October 24 2003 (limited)
 November 1 2003 (wide)",,,,,6.8
465,465,The Mask of Zorro,Sony,250.3,94.1,156.2,1998,"July 17, 1998",Period Adventure, 2 hrs. 17 min.,PG-13,95 ,22525855,Ted ElliottTerry Rossio,Antonio BanderasAnthony HopkinsCatherine Zeta-Jones,James Horner,2515,6.7
466,466,Eragon,Fox,249.5,75,174.5,2006,"December 15, 2006",Fantasy, 1 hrs. 39 min.,PG,100 ,23239907,119 days / 17 weeks,Jeremy IronsRobert CarlyleJohn MalkovichGarrett HedlundDjimon HounsouSienna GuilloryRachel Weisz* (Voice),Patrick Doyle,3030,5.1
467,467,The Ring,DW,249.3,129.1,120.2,2002,"October 18, 2002",Horror, 1 hrs. 49 min.,PG-13,48 ,15015393,Gore Verbinski,Ehren Kruger,Roy Lee (executive)Michelle Weisler (executive),2927,7.1
468,468,The Blair Witch Project,Art.,248.6,140.5,108.1,1999,"July 16, 1999",Horror, 1 hrs. 26 min.,R,"60,000","July 16 1999 (limited)
 July 30 1999 (wide)",,,,,6.4
469,469,Unbreakable,BV,248.1,95,153.1,2000,"November 22, 2000",Thriller, 1 hrs. 46 min.,PG-13,75 ,30330771,M. Night Shyamalan,Bruce WillisSamuel L. JacksonM. Night Shyamalan*,James Newton Howard,2708,7.2
470,470,Dumb and Dumber,NL,247.3,127.2,120.1,1994,"December 16, 1994",Comedy, 1 hrs. 41 min.,PG-13,17 ,16363442,,,,,7.3
471,471,Grown Ups 2,Sony,247.0,133.7,113.3,2013,"July 12, 2013",Comedy, 1 hrs. 41 min.,PG-13,80 ,41508572,129 days / 18.4 weeks,Dennis Dugan,Adam SandlerKevin JamesChris RockDavid SpadeSalma HayekMaya RudolphMaria BelloNick SwardsonTaylor Lautner,3491,5.4
472,472,Love Actually,Uni.,246.9,59.7,187.2,2003,"November 7, 2003",Romantic Comedy, 2 hrs. 8 min.,R,40 ,"November 7 2003 (limited)
 November 14 2003 (wide)",,,,,7.7
473,473,Rango,Par.,245.7,123.5,122.2,2011,"March 4, 2011",Animation, 1 hrs. 47 min.,PG,135 ,38079323,Gore Verbinski,John LoganGore Verbinski (story),Tim Headington (executive)Graham KingGore Verbinski,3923,7.2
474,474,Four Weddings and a Funeral,Gram.,245.7,52.7,193.0,1994,"March 11, 1994",Romantic Comedy, 1 hrs. 58 min.,R,4.4 ,"March 11 1994 (limited)
 April 15 1994 (wide)",,,,,7.1
475,475,Face/Off,Par.,245.7,112.3,133.4,1997,"June 27, 1997",Action, 2 hrs. 18 min.,R,80 ,23387530,John TravoltaNicolas CageJoan AllenThomas Jane*,Michael Douglas (executive producer),John Powell,2851,7.3
476,476,The Peanuts Movie,Fox,245.7,130.1,115.5,2015,"November 6, 2015",Animation, 1 hrs. 33 min.,G,99 ,245650032,,,,,7.3
477,477,Dark Shadows,WB,245.5,79.7,165.8,2012,"May 11, 2012",Horror Comedy, 1 hrs. 53 min.,PG-13,150 ,29685274,98 days / 14 weeks,Tim Burton,Johnny DeppMichelle PfeifferHelena Bonham CarterJackie Earle HaleyJonny Lee MillerEva GreenChloe MoretzBella HeathcoteChristopher Lee*,3755,8.1
478,478,Hulk,Uni.,245.4,132.2,113.2,2003,"June 20, 2003",Action / Adventure, 2 hrs. 15 min.,PG-13,137 ,62128420,119 days / 17 weeks,Ang Lee,Eric BanaJennifer ConnellySam ElliottJosh LucasNick Nolte,3674,5.7
479,479,Bienvenue chez les Ch'tis,,245.1,n/a,245.1,0,. 46 min.,ting: Unrated,on Budget: N/A,,None,,,,,,7.1
480,480,The Godfather,Par.,245.1,135,110.1,1972^,"March 15, 1972",Crime Drama, 2 hrs. 55 min.,R,6 ,245066411,,,,,9.2
481,481,Hercules (2014),Par.,244.8,72.7,172.1,2014,"July 25, 2014",Action / Adventure, 1 hrs. 38 min.,PG-13,100 ,29800263,84 days / 12 weeks,Brett Ratner,Rebecca FergusonDwayne JohnsonIan McShaneRufus SewellJoseph FiennesJohn Hurt,3595,7.2
482,482,Back to the Future Part III,Uni.,244.5,87.7,156.8,1990,"May 25, 1990",Western, 1 hrs. 58 min.,PG,40 ,19089645,,,,,7.4
483,483,Rush Hour,NL,244.4,141.2,103.2,1998,"September 18, 1998",Action Comedy, 1 hrs. 37 min.,PG-13,33 ,33001803,,,,,6.9
484,484,After Earth,Sony,243.8,60.5,183.3,2013,"May 31, 2013",Sci-Fi, 1 hrs. 40 min.,PG-13,130 ,27520040,80 days / 11.4 weeks,M. Night Shyamalan,Jaden SmithWill Smith,3401,4.9
485,485,Pixels,Sony,243.5,78.7,164.7,2015,"July 24, 2015",Action Comedy, 1 hrs. 45 min.,PG-13,88 ,24011616,108 days / 15.4 weeks,Chris Columbus,Adam SandlerKevin JamesJosh GadMichelle MonaghanPeter DinklageBrian Cox,3723,5.7
486,486,A Few Good Men,Col.,243.2,141.3,101.9,1992,"December 11, 1992",Drama / Thriller, 2 hrs. 18 min.,R,40 ,15517468,,,,,7.6
487,487,Cloudy with a Chance of Meatballs,Sony,243.0,124.9,118.1,2009,"September 18, 2009",Animation, 1 hrs. 21 min.,PG,100 ,243006126,,,,,7.0
488,488,8 Mile,Uni.,242.9,116.8,126.1,2002,"November 8, 2002",Music Drama, 1 hrs. 58 min.,R,41 ,51240555,140 days / 20 weeks,Curtis Hanson,Brian Grazer,2585,7.0
489,489,Marley and Me,Fox,242.7,143.2,99.6,2008,"December 25, 2008",Comedy, 2 hrs. 0 min.,PG,,36357586,127 days / 18.1 weeks,David Frankel,Jennifer AnistonOwen Wilson,3505,7.1
490,490,RoboCop (2014),Sony,242.7,58.6,184.1,2014,"February 12, 2014",Sci-Fi Action, 1 hrs. 48 min.,PG-13,100 ,21681430,96 days / 13.7 weeks,Jose Padilha,Michael K. WilliamsJoel KinnamanGary OldmanMichael KeatonAbbie CornishJackie Earle HaleyJennifer EhleJay BaruchelSamuel L. Jackson,3372,5.7
491,491,Eraser,WB,242.3,101.3,141.0,1996,"June 21, 1996",Action, 1 hrs. 55 min.,R,100 ,24566446,,,,,6.1
492,492,Journey to the Center of the Earth,WB (NL),242.0,101.7,140.3,2008,"July 11, 2008",Adventure, 1 hrs. 32 min.,PG,60 ,21018141,154 days / 22 weeks,Brendan FraserJosh Hutcherson,Andrew Lockington,2830,5.8
493,493,Resident Evil: Retribution,SGem,240.2,42.3,197.8,2012,"September 14, 2012",Action Horror, 1 hrs. 35 min.,R,65 ,21052227,59 days / 8.4 weeks,Paul W.S. Anderson,Milla JovovichSienna GuilloryMichelle RodriguezBoris Kodjoe,3016,5.4
494,494,Die Hard 2: Die Harder,Fox,240.0,117.5,122.5,1990,"July 6, 1990",Action Thriller, 2 hrs. 4 min.,R,70 ,21744661,Bruce WillisJohn Leguizamo*,Lawrence GordonLloyd Levin (executive producer)Joel Silver,Michael Kamen,2507,7.1
495,495,Crocodile Dundee II,Par.,239.6,109.3,130.3,1988,"May 25, 1988",Adventure Comedy, 1 hrs. 50 min.,PG,,,,,,,5.5
496,496,Planes,BV,239.3,90.3,149.0,2013,"August 9, 2013",Animation, 1 hrs. 32 min.,PG,50 ,22232291,133 days / 19 weeks,Klay Hall,Dane Cook (Voice)Val Kilmer (Voice)Anthony Edwards (Voice)Teri Hatcher (Voice)Julia Louis-Dreyfus (Voice)John Cleese (Voice)Brad Garrett* (Voice)Larry the Cable Guy* (Voice)Cedric the Entertainer* (Voice)Sinbad* (Voice),3716,5.8
497,497,Batman and Robin,WB,238.2,107.3,130.9,1997,"June 20, 1997",Action / Adventure, 2 hrs. 5 min.,PG-13,125 ,42872605,Joel Schumacher,Akiva Goldsman,Elliot Goldenthal,2942,3.7
498,498,Click,SonR,237.7,137.4,100.3,2006,"June 23, 2006",Fantasy Comedy, 1 hrs. 37 min.,PG-13,82.5 ,40011365,Frank Coraci,Steve KorenMark O'Keefe,Jack GiarraputoTim Herlihy (executive)Steve KorenNeal H. MoritzMark O'KeefeAdam Sandler,3764,6.4
499,499,Gulliver's Travels,Fox,237.4,42.8,194.6,2010,"December 25, 2010",Adventure Comedy, 1 hrs. 25 min.,PG,112 ,6307691,111 days / 15.9 weeks,Rob Letterman,Jack BlackJason SegelEmily BluntAmanda PeetBilly Connolly,3089,4.9
500,500,Gone in 60 Seconds,BV,237.2,101.6,135.6,2000,"June 9, 2000",Action, 1 hrs. 57 min.,PG-13,90 ,25336048,Nicolas CageGiovanni RibisiAngelina JolieScott CaanWill PattonDelroy LindoTimothy OlyphantRobert Duvall,Jerry Bruckheimer,Trevor Rabin,3089,6.5
501,501,Saturday Night Fever,Par.,237.1,94.2,142.9,1977,"December 16, 1977",Music Drama, 1 hrs. 58 min.,R,,"December 16 1977 (limited)
 N/A (wide)",,,,,6.8
502,502,Silver Linings Playbook,Wein.,236.4,132.1,104.3,2012,"November 16, 2012",Comedy, 2 hrs. 2 min.,R,21 ,"November 16 2012 (limited)
 December 25 2012 (wide)",,,,,7.8
503,503,2 Fast 2 Furious,Uni.,236.4,127.2,109.2,2003,"June 6, 2003",Action, 1 hrs. 41 min.,PG-13,76 ,50472480,133 days / 19 weeks,John Singleton,Lee R. MayesNeal H. Moritz,3418,5.8
504,504,A.I. Artificial Intelligence,WB,235.9,78.6,157.3,2001,"June 29, 2001",Sci-Fi, 2 hrs. 25 min.,PG-13,100 ,29352630,,,,,7.1
505,505,Dead Poets Society,BV,235.9,95.9,140.0,1989,"June 2, 1989",Drama, 2 hrs. 8 min.,PG,,"June 2 1989 (limited)
 June 9 1989 (wide)",,,,,8.0
506,506,Spy,Fox,235.7,110.8,124.8,2015,"December 25, 2015",Comedy, 1 hrs. 36 min.,PG-13,,38740203,,,,,7.1
507,507,American Pie,Uni.,235.5,102.6,132.9,1999,"June 5, 2015",Comedy, 2 hrs. 0 min.,R,65 ,29085719,126 days / 18 weeks,Paul Feig,Morena BaccarinMelissa McCarthyJason StathamJude LawRose ByrneAllison JanneyBobby Cannavale50 Cent,3715,7.0
508,508,Howl's Moving Castle,BV,235.2,4.7,230.5,2005,"July 9, 1999",Comedy, 1 hrs. 35 min.,R,11 ,18709680,,,,,8.2
509,509,American Reunion,Uni.,235.0,57,178.0,2012,"June 10, 2005",Animation, 1 hrs. 59 min.,PG,,235184110,,,,,6.7
510,510,Big Daddy,Sony,234.8,163.5,71.3,1999,"April 6, 2012",Comedy, 1 hrs. 53 min.,R,50 ,21514080,Jon HurwitzHayden Schlossberg,Jon HurwitzHayden Schlossberg,Jason Biggs (executive)Chris MooreSeann William Scott (executive)Chris Weitz (executive)Paul Weitz (executive),3203,6.4
511,511,Daddy's Home,Par.,234.7,148,86.7,2015,"June 25, 1999",Comedy, 1 hrs. 33 min.,PG-13,34.2 ,41536370,Dennis Dugan,Tim HerlihyAdam Sandler,Jack GiarraputoAdam Sandler (executive)Robert Simonds (Executive),3254,5.8
512,512,The Day the Earth Stood Still (2008),Fox,233.1,79.4,153.7,2008,"December 12, 2008",Sci-Fi, 1 hrs. 50 min.,PG-13,80 ,30480153,112 days / 16 weeks,Scott Derrickson,Paul Harris BoardmanErwin Stoff,3560,5.5
513,513,The Girl with the Dragon Tattoo (2011),Sony,232.6,102.5,130.1,2011,"December 21, 2011",Thriller, 2 hrs. 40 min.,R,90 ,12768604,93 days / 13.3 weeks,David Fincher,Daniel CraigRooney MaraChristopher PlummerStellan SkarsgardRobin Wright PennJoely Richardson*Goran Visnjic*Joel Kinnaman*,2950,2.6
514,514,Argo,WB,232.3,136,96.3,2012,"October 12, 2012",Drama / Thriller, 2 hrs. 0 min.,R,44.5 ,19458109,Ben Affleck,Chris Terrio,Ben AffleckGeorge ClooneyTim Headington (executive)Grant HeslovGraham King (executive)David Klawans (executive),3247,7.8
515,515,The English Patient,Mira.,232.0,78.7,153.3,1996,"November 15, 1996",Romance, 2 hrs. 42 min.,R,27 ,"November 15 1996 (limited)
 December 6 1996 (wide)",,,,,7.4
516,516,Sister Act,BV,231.6,139.6,92.0,1992,"May 29, 1992",Comedy, 1 hrs. 40 min.,PG,,11894587,,,,,6.2
517,517,American Wedding,Uni.,231.4,104.6,126.9,2003,"August 1, 2003",Comedy, 1 hrs. 42 min.,R,55 ,33369440,,,,,6.3
518,518,Juno,FoxS,231.4,143.5,87.9,2007,"December 5, 2007",Comedy / Drama, 1 hrs. 31 min.,PG-13,7.5 ,"December 5 2007 (limited)
 December 25 2007 (wide)",,,,,7.5
519,519,Constantine,WB,230.9,76,154.9,2005,"February 18, 2005",Horror, 2 hrs. 1 min.,R,100 ,29769098,Francis Lawrence,Keanu ReevesRachel WeiszShia LaBeoufDjimon HounsouTilda Swinton,Klaus BadeltBrian Tyler,3006,6.9
520,520,Get Smart,WB,230.7,130.3,100.4,2008,"June 20, 2008",Action Comedy, 1 hrs. 50 min.,PG-13,80 ,38683480,140 days / 20 weeks,Peter Segal,Steve CarellAnne HathawayDwayne JohnsonTerence Stamp,3915,6.5
521,521,Space Jam,WB,230.4,90.4,140.0,1996,"November 15, 1996",Family Comedy, 1 hrs. 28 min.,PG,,230418342,,,,,6.3
522,522,The Heat,Fox,229.9,159.6,70.3,2013,"June 28, 2013",Comedy, 1 hrs. 57 min.,R,43 ,39115043,168 days / 24 weeks,Paul Feig,Sandra BullockMelissa McCarthy,3184,6.6
523,523,Mr. Bean's Holiday,Uni.,229.7,33.3,196.4,2007,"August 24, 2007",Comedy, 1 hrs. 30 min.,G,,9889780,,,,,6.3
524,524,Life Is Beautiful,Mira.,229.2,57.6,171.6,1998^,"October 23, 1998",Foreign, 1 hrs. 56 min.,PG-13,,"October 23 1998 (limited)
 February 12 1999 (wide)",,,,,8.6
525,525,Ghost Rider,Sony,228.7,115.8,112.9,2007,"February 16, 2007",Action Horror, 1 hrs. 50 min.,PG-13,110 ,45388836,77 days / 11 weeks,Mark Steven Johnson,Nicolas CageEva MendesSam ElliottWes BentleyPeter FondaRebel Wilson*,3620,5.2
526,526,Lethal Weapon 2,WB,227.9,147.3,80.6,1989,"July 7, 1989",Action Comedy, 1 hrs. 53 min.,R,,20388800,Shane Black,Mel GibsonDanny Glover,Michael Kamen,1830,7.2
527,527,The Green Hornet,Sony,227.8,98.8,129.0,2011,"January 14, 2011",Action / Adventure, 1 hrs. 48 min.,PG-13,120 ,33526876,Michel Gondry,Evan GoldbergSeth Rogen,Evan Goldberg (executive)Michael Grillo (executive)Neal H. MoritzSeth Rogen (executive),3584,5.9
528,528,Sleepless in Seattle,TriS,227.8,126.7,101.1,1993,"June 25, 1993",Romantic Comedy, 1 hrs. 45 min.,PG,21 ,17253733,Nora Ephron,Tom HanksMeg Ryan,Marc Shaiman,1657,6.8
529,529,The Imitation Game,Wein.,227.8,91.1,136.6,2014,"November 28, 2014",Drama, 1 hrs. 54 min.,PG-13,,"November 28 2014 (limited)
 December 25 2014 (wide)",,,,,8.1
530,530,Immortals,Rela.,226.9,83.5,143.4,2011,"November 11, 2011",Fantasy Drama, 1 hrs. 50 min.,R,75 ,32206425,105 days / 15 weeks,Tarsem,Mark CantonRyan KavanaughGianni NunnariTucker Tooley (executive),3120,6.1
531,531,Taken,Fox,226.8,145,81.8,2009,"January 30, 2009",Action, 1 hrs. 33 min.,PG-13,25 ,24717037,161 days / 23 weeks,Pierre Morel,Liam NeesonMaggie GraceFamke JanssenKatie Cassidy*,3184,7.9
532,532,Percy Jackson & The Olympians: The Lightning Thief,Fox,226.5,88.8,137.7,2010,"February 12, 2010",Fantasy, 2 hrs. 0 min.,PG,95 ,31236067,140 days / 20 weeks,Chris Columbus,Chris ColumbusThomas M. Hammel (executive)Karen Rosenfelt,3396,5.9
533,533,Hansel and Gretel: Witch Hunters,Par.,226.3,55.7,170.6,2013,"January 25, 2013",Action Comedy, 1 hrs. 28 min.,R,50 ,19690956,91 days / 13 weeks,Tommy Wirkola,Jeremy RennerGemma ArtertonFamke JanssenPeter StormareThomas Mann,3375,6.1
534,534,Good Will Hunting,Mira.,225.9,138.4,87.5,1997,"December 5, 1997",Drama, 2 hrs. 6 min.,R,,"December 5 1997 (limited)
 January 9 1998 (wide)",,,,,8.3
535,535,The Social Network,Sony,224.9,97,128.0,2010,"October 1, 2010",Comedy / Drama, 2 hrs. 0 min.,PG-13,40 ,22445653,154 days / 22 weeks,David Fincher,Jesse EisenbergAndrew GarfieldJustin TimberlakeArmie HammerMax MinghellaRooney MaraRashida Jones,2921,7.7
536,536,Chicken Run,DW,224.8,106.8,118.0,2000,"June 23, 2000",Animation, 1 hrs. 24 min.,G,45 ,17506162,Karey Kirkpatrick,Mel Gibson (Voice)Imelda Staunton* (Voice),Harry Gregson-WilliamsJohn Powell,2953,7.0
537,537,Con Air,BV,224.0,101.1,122.9,1997,"June 6, 1997",Action, 1 hrs. 55 min.,PG,,224526613,,,,,6.8
538,538,Interview with the Vampire,WB,223.7,105.3,118.4,1994,"November 11, 1994",Period Horror, 2 hrs. 3 min.,R,75 ,24131738,133 days / 19 weeks,Simon West,Jerry Bruckheimer,2941,7.6
539,539,Flightplan,BV,223.4,89.7,133.7,2005,"September 23, 2005",Thriller, 1 hrs. 33 min.,R,60 ,36389705,,,,,6.2
540,540,Yes Man,WB,223.2,97.7,125.6,2008,"December 19, 2008",Comedy, 1 hrs. 44 min.,PG-13,,24629938,168 days / 24 weeks,Robert Schwentke,Jodie FosterPeter SarsgaardSean BeanErika Christensen,3424,6.8
541,541,Non-Stop,Uni.,222.8,92.2,130.6,2014,"February 28, 2014",Thriller, 1 hrs. 50 min.,PG-13,70 ,18262471,105 days / 15 weeks,Peyton Reed,Jim CarreyBradley CooperZooey Deschanel,3434,7.0
542,542,Honey I Shrunk the Kids,BV,222.7,130.7,92.0,1989,"June 23, 1989",Family Adventure, 1 hrs. 41 min.,PG-13,50 ,28875635,Jaume Collet-Serra,Ryan EngleJohn W. RichardsonChris Roach,Alex HeinemanJoel SilverJeff Wadlow (executive),3183,6.3
