"number" "rank" "title" "studio" "worldwide" "domestic" "overseas" "release_date" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "director2" "star1" "star2" "budget" "per" "title1" "sh" "shb" "series" "rn" "to_rating" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"54" 54 54 "E.T.: The Extra-Terrestrial" "Uni." 792.9 435.1 357.8 "June 11" 1982 "Family Adventure" "PG" NA 7.8 "Family" "Adventure" NA 117 NA "Steven Spielberg" "" "Dee Wallace" "Henry Thomas" 10.5 "ss" "e.t.:theextraterrestrial" 0 0 1 NA NA 41.44 "2.94" 1287.54 NA 31.07 175 168 2 2 2 8
"55" 55 55 "Fast & Furious 6" "Uni." 788.7 238.7 550 "May 24" 2013 "Action" "PG-13" 3771 7.2 "Action" "" 97.4 130 15 "Justin Lin" "" "Vin Diesel" "Paul Walker" 160 "ss" "fast&furious6" 0 0 1 NA NA 1.49 "8.13" 255.44 104.23 171.22 3 6 7 7 26 11
"56" 56 56 "Indiana Jones and the Kingdom of the Crystal Skull" "Par." 786.6 317.1 469.5 "May 22" 2008 "Period Adventure" "PG-13" 4264 6.2 "Period" "Adventure" NA 120 NA "Steven Spielberg" "" "Harrison Ford" "Cate Blanchett" 185 "ss" "indianajonesandthekingdomofthecrystalskull" 0 0 0 256 66 1.71 "7.18" 384.23 NA 224.16 175 168 32 144 36 177
"57" 57 57 "Spider-Man 2" "Sony" 783.8 373.6 410.2 "June 30" 2004 "AA" "PG-13" 4166 7.3 "AA" "" 88.2 127 22.7 "Sam Raimi" "" "Tobey Maguire" "Kirsten Dunst" 200 "ss" "spiderman2" 3 1 1 261 82 1.87 "6.21" 523.4 123.57 280.19 10 16 7 28 30 56
"58" 58 58 "Star Wars" "Fox" 775.4 461 314.4 "May 25" 1977 "Sci-Fi Fantasy" "PG" NA 8.7 "Sci-Fi" "Fantasy" NA 121 NA "George Lucas" "" "Mark Hamill" "Harrison Ford" 11 "ss" "starwars" 0 0 0 212 44 41.91 "2.23" 1798.52 NA 42.91 40 31 11 32 13 36
"59" 59 59 "Guardians of the Galaxy" "BV" 773.3 333.2 440.1 "August 1" 2014 "AA" "PG-13" 4088 8.1 "AA" "" 94.3 121 25 "James Gunn" "" "Chris Pratt" "Zoe Saldana" 170 "ss" "guardiansofthegalaxy" 1 1 0 275 80 1.96 "8.17" 354.82 100.42 181.03 12 8 10 12 25 46
"60" 60 60 NA "Sony" 769.7 166.1 603.6 "November 13" 2009 "Action Drama" "PG-13" 3444 5.8 "Action" "Drama" 65.2 158 14.4 "Roland Emmerich" "" "John Cusack" "Amanda Peet" 200 "ns" NA 0 0 NA NA NA 0.83 "7.50" 192.68 75.63 232 13 14 7 2 17 7
"61" 61 61 "Maleficent" "BV" 758.5 241.4 517.1 "May 30" 2014 "Fantasy" "PG" 3948 7 "Fantasy" "" 69.4 97 27 "Robert Stromberg" "" "Angelina Jolie" "Elle Fanning" 180 "ss" "maleficent" 0 0 0 NA NA 1.34 "8.17" 257.06 73.9 191.68 17 27 47 10 93 34
"62" 62 62 "The Da Vinci Code" "Sony" 758.2 217.5 540.7 "May 19" 2006 "Thriller" "PG-13" 3757 6.5 "Thriller" "" 77.1 149 13.4 "Ron Howard" "" "Tom Hanks" "Audrey Tautou" 125 "ns" "thedavincicode" 0 0 0 NA NA 1.74 "6.55" 288.89 102.41 166.03 38 65 76 10 115 18
"63" 63 63 "The Amazing Spider-Man" "Sony" 757.9 262 495.9 "July 3" 2012 "AA" "PG-13" 4318 7.3 "AA" "" 62 136 14.9 "Sam Raimi" "" "Tobey Maguire" "Kirsten Dunst" 230 "ss" "theamazingspiderman" 3 1 0 NA NA 1.14 "7.96" 286.36 67.76 251.38 10 16 7 28 30 56
