"number" "rank" "title" "studio" "worldwide" "domestic" "overseas" "release_date" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "director2" "star1" "star2" "budget" "per" "title1" "sh" "shb" "series" "rn" "to_rating" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"303" 303 303 "Prince of Persia: The Sands of Time" "BV" 336.4 90.8 245.6 "May 28" 2010 "Adventure" "PG-13" 3646 6.6 "Adventure" "" 30.1 115 17 "Mike Newell" "" "Jake Gyllenhaal" "Gemma Arterton" 200 "ss" "princeofpersia:thesandsoftime" 0 0 1 NA NA 0.45 "7.89" 100.12 33.19 220.53 13 10 34 1 82 7
"304" 304 304 "Over the Hedge" "P/DW" 336 155 181 "May 19" 2006 "Animation" "PG" 4093 6.8 "Animation" "" 38.5 87 16 "Tim Johnson" "Karey Kirkpatrick" "Bruce Willis" "Garry Shandling" NA "ns" "overthehedge" 0 0 0 168 63 NA "6.55" 205.88 51.14 NA 2 1 21 17 37 44
"305" 305 305 "Journey 2: The Mysterious Island" "WB (NL)" 335.3 103.9 231.4 "February 10" 2012 "Adventure" "PG" 3500 5.8 "Adventure" "" 27.3 94 20 "Brad Peyton" "" "Dwayne Johnson" "Michael Caine" 79 "ns" "journey2:themysteriousisland" 0 0 1 NA NA 1.32 "7.96" 113.56 29.84 86.34 0 2 3 37 28 60
"306" 306 306 "The Rock" "BV" 335.1 134.1 201 "June 7" 1996 "Action" "R" 2426 7.4 "Action" "" 25.1 136 26 "Michael Bay" "" "Sean Connery" "Nicolas Cage" 75 "ss" "therock" 0 0 0 57 49 1.79 "4.42" 263.95 49.4 147.62 7 10 37 40 27 60
"307" 307 307 "The Curious Case of Benjamin Button" "Par." 333.9 127.5 206.4 "December 25" 2008 "Fantasy Drama" "PG-13" 2988 7.8 "Fantasy" "Drama" 26.9 168 17.1 "David Fincher" "" "Cate Blanchett" "Brad Pitt" 150 "hs" "thecuriouscaseofbenjaminbutton" 0 0 0 238 60 0.85 "7.18" 154.49 32.59 181.75 57 101 144 64 177 136
"308" 308 308 "Indiana Jones and the Temple of Doom" "Par." 333.1 179.9 153.2 "May 23" 1984 "Period Adventure" "PG" 1687 7.6 "Period" "Adventure" NA 118 NA "Steven Spielberg" "" "Harrison Ford" "Kate Capshaw" 28 "ss" "indianajonesandthetempleofdoom" 0 0 0 NA NA 6.42 "3.36" 465.81 NA 72.5 175 168 32 NA 36 NA
"309" 309 309 "Tomorrow Never Dies" "MGM" 333 125.3 207.7 "December 19" 1997 "Action" "PG-13" NA 6.5 "Action" "" NA 119 NA "Roger Spottiswoode" "" "Pierce Brosnan" "Jonathan Pryce" NA "hs" "tomorrowneverdies" 0 0 0 82 45 NA "4.59" 237.5 NA NA 7 6 17 6 20 14
"310" 310 310 "Back to the Future Part II" "Uni." 332 118.5 213.5 "November 22" 1989 "Sci-Fi Adventure" "PG" NA 7.8 "Sci-Fi" "Adventure" NA 108 NA "Robert Zemeckis" "" "Michael J. Fox" "Christopher Lloyd" 40 "hs" "backtothefuturepartii" 0 0 1 60 51 2.96 "3.97" 259.69 NA 87.66 33 33 29 30 55 16
"311" 311 311 "22 Jump Street" "Sony" 331.3 191.7 139.6 "June 13" 2014 "Action Comedy" "R" 3426 7.1 "Action" "Comedy" 57.1 112 22.4 "Phil Lord" "Christopher Miller" "Jonah Hill" "Channing Tatum" 50 "ss" "22jumpstreet" 0 0 0 196 74 3.83 "8.17" 204.14 60.8 53.24 11 12 5 19 56 53
"312" 312 312 "Fantastic Four" "Fox" 330.6 154.7 175.9 "July 8" 2005 "AA" "PG-13" 3619 5.7 "AA" "" 56.1 123 25 "Tim Story" "" "Ioan Gruffudd" "Jessica Alba" 100 "ss" "fantasticfour" 4 1 0 NA NA 1.55 "6.41" 209.97 76.14 135.73 0 6 2 14 4 37
"313" 313 313 "Meet the Parents" "Uni." 330.4 166.2 164.2 "October 6" 2000 "Comedy" "PG-13" 2697 7 "Comedy" "" 28.6 108 25 "Jay Roach" "" "Robert De Niro" "Ben Stiller" 55 "ns" "meettheparents" 0 0 0 146 73 3.02 "5.39" 268.26 46.16 88.78 9 5 48 13 82 52
"314" 314 314 "Who Framed Roger Rabbit" "BV" 329.8 156.5 173.4 "June 24" 1988 "Fantasy Comedy" "PG" NA 7.7 "Fantasy" "Comedy" NA 103 NA "Robert Zemeckis" "" "Bob Hoskins" "Christopher Lloyd" 70 "ss" "whoframedrogerrabbit" 0 0 0 61 86 2.24 "4.11" 331.28 NA 148.18 33 33 23 30 15 16
"315" 315 315 "Black Swan" "FoxS" 329.4 107 222.4 "December 3" 2010 "Drama / Thriller" "R" NA 8 "Drama" "Thriller" NA 103 NA "Darren Aronofsky" "" "Natalie Portman" "Mila Kunis" 13 "hs" "blackswan" 0 0 0 275 75 8.23 "7.89" 117.98 NA 14.33 32 73 58 12 85 49
"316" 316 316 "The Perfect Storm" "WB" 328.7 182.6 146.1 "June 30" 2000 "Action Drama" "PG-13" NA 6.4 "Action" "Drama" NA 129 NA "Wolfgang Petersen" "" "George Clooney" "Mark Wahlberg" 140 "ss" "theperfectstorm" 0 0 0 NA NA 1.3 "5.39" 294.73 NA 225.97 10 8 87 20 193 60
"317" 317 317 "Crocodile Dundee" "Par." 328.2 174.8 153.4 "September 26" 1986 "Adventure Comedy" "PG-13" NA 6.5 "Adventure" "Comedy" NA 93 NA "Peter Faiman" "" "Paul Hogan" "Linda Kozlowski" NA "ns" "crocodiledundee" 0 0 0 NA NA NA "3.71" 409.91 NA NA NA NA 3 0 16 1
"318" 318 318 "Seven" "NL" 327.3 100.1 227.2 "September 22" 1995 "Thriller" "R" 2528 8.6 "Thriller" "" NA 127 NA "David Fincher" "" "Morgan Freeman" "Andrew Kevin Walker" 33 "ns" "seven" 0 0 0 69 69 3.03 "4.35" 200.2 NA 66 57 101 56 2 69 3
"319" 319 319 "The Devil Wears Prada" "Fox" 326.6 124.7 201.8 "June 30" 2006 "Comedy" "PG-13" 2882 6.8 "Comedy" "" 27.5 106 24 "David Frankel" "" "Meryl Streep" "Anne Hathaway" 35 "ss" "thedevilwearsprada" 0 0 0 187 63 3.56 "6.55" 165.63 36.53 46.49 7 6 163 65 321 95
"320" 320 320 "Taken 3" "Fox" 326.5 89.3 237.2 "January 9" 2015 "Action" "PG-13" 3594 6 "Action" "" 39.2 109 18 "Olivier Megaton" "" "Liam Neeson" "Forest Whitaker" 48 "ns" "taken3" 0 0 1 NA NA 1.86 "8.43" 92.16 40.46 49.54 2 2 15 57 35 48
"321" 321 321 "The Hunchback of Notre Dame" "BV" 325.3 100.1 225.2 "June 21" 1996 "Animation" "G" NA 6.9 "Animation" "" NA 91 NA "Gary Trousdale" "Kirk Wise" "Jason Alexander" "Tom Hulce" 100 "ss" "thehunchbackofnotredame" 0 0 0 52 61 1 "4.42" 197.03 NA 196.83 1 5 7 4 37 10
"322" 322 322 "A Christmas Carol" "BV" 325.3 137.9 187.4 "November 6" 2009 "Animation" "PG" 3683 NA "Animation" "" 30.1 96 13 "James Barratt" "" "James Barratt" "Tom Hulce" 200 "ns" "achristmascarol" 0 0 0 NA NA 0.69 "7.50" 159.96 34.92 232 NA NA NA NA NA NA
"323" 323 323 "The SpongeBob Movie: Sponge Out of Water" "Par." 323.4 163 160.4 "February 6" 2015 "Animation" "PG" 3680 6 "Animation" "" 55.4 93 16 "Paul Tibbitt" "Mike Mitchell" "Antonio Banderas" "Eric Bauza" 74 "ns" "thespongebobmovie:spongeoutofwater" 5 1 1 NA NA 2.2 "8.43" 168.22 57.17 76.37 2 10 33 4 39 13
"324" 324 324 "Megamind" "P/DW" 321.9 148.4 173.5 "November 5" 2010 "Animation" "PG" 3949 7.3 "Animation" "" 46 96 16 "Tom McGrath" "" "Will Ferrell" "Brad Pitt" 130 "ns" "megamind" 5 1 0 NA NA 1.14 "7.89" 163.63 50.72 143.35 0 8 9 64 61 136
"325" 325 325 "Lethal Weapon 3" "WB" 321.7 144.7 177 "May 15" 1992 "Action Comedy" "R" 2568 6.7 "Action" "Comedy" NA 118 NA "Richard Donner" "" "Mel Gibson" "Danny Glover" 35 "ns" "lethalweapon3" 0 0 1 43 44 4.13 "4.15" 303.35 NA 73.37 9 7 32 22 30 41
"326" 326 326 "Robin Hood" "Uni." 321.7 105.3 216.4 "May 14" 2010 "Period Adventure" "PG-13" 3505 6.7 "Period" "Adventure" 36.1 148 12 "Ridley Scott" "" "Russell Crowe" "Cate Blanchett" 200 "ns" "robinhood" 0 0 0 52 38 0.53 "7.89" 116.11 39.81 220.53 31 87 36 144 66 177
"327" 327 327 "Inglourious Basterds" "Wein." 321.5 120.5 200.9 "August 21" 2009 "War" "R" 3358 8.3 "War" "" 38.1 152 17 "Quentin Tarantino" "Eli Roth" "Brad Pitt" "M¨¦lanie Laurent" 70 "ss" "inglouriousbasterds" 0 0 0 299 78 1.72 "7.50" 139.78 44.2 81.2 120 163 64 18 136 23
"328" 328 328 "Schindler's List" "Uni." 321.3 96.1 225.2 "December 15" 1993 "War Drama" "R" NA 8.9 "War" "Drama" NA 194 NA "Steven Spielberg" "" "Liam Neeson" "Ben Kingsley" 22 "hs" "schindler'slist" 0 0 0 85 85 4.37 "4.14" 201.95 NA 46.23 175 168 15 45 35 65
"329" 329 329 "101 Dalmatians" "BV" 320.7 136.2 184.5 "November 27" 1996 "Family Comedy" "G" NA 7 "Family" "Comedy" NA 103 NA "Dominik Sedlar" "Jakov Sedlar" "Rick Adamson" "Martin Sheen" NA "hs" "101dalmatians" 0 0 0 NA NA NA "4.42" 268.09 NA NA NA NA NA NA NA NA
"330" 330 330 "Fatal Attraction" "Par." 320.1 156.6 163.5 "September 18" 1987 "Thriller" "R" NA 6.9 "Thriller" "" NA 123 NA "Adrian Lyne" "" "Michael Douglas" "Glenn Close" NA "ns" "fatalattraction" 0 0 0 NA NA NA "3.91" 348.45 NA NA 4 4 58 49 36 91
"331" 331 331 "The Last Airbender" "Par." 319.7 131.8 187.9 "July 1" 2010 "Fantasy" "PG" 3203 4.2 "Fantasy" "" NA 103 NA "M. Night Shyamalan" "" "Noah Ringer" "Dev Patel" 150 "ss" "thelastairbender" 0 0 0 NA NA 0.88 "7.89" 145.33 NA 165.4 12 36 0 12 1 22
"332" 332 332 "The Conjuring" "WB (NL)" 318 137.4 180.6 "July 19" 2013 "Horror" "R" 3115 7.5 "Horror" "" 41.9 112 15 "James Wan" "" "Vera Farmiga" "Patrick Wilson" 20 "ss" "theconjuring" 0 0 0 199 75 6.87 "8.13" 147.03 44.84 21.4 10 8 17 2 68 16
"333" 333 333 "The Proposal" "BV" 317.4 164 153.4 "June 19" 2009 "Romantic Comedy" "PG-13" 3158 6.7 "Romantic" "Comedy" 33.6 108 20 "Anne Fletcher" "" "Sandra Bullock" "Ryan Reynolds" 40 "ss" "theproposal" 0 0 0 NA NA 4.1 "7.50" 190.24 38.98 46.4 NA NA 72 8 102 32
"334" 334 334 "Beverly Hills Cop" "Par." 316.4 234.8 81.6 "December 5" 1984 "Action Comedy" "R" NA 7.3 "Action" "Comedy" NA 105 NA "Martin Brest" "" "Eddie Murphy" "Judge Reinhold" NA "hs" "beverlyhillscop" 0 0 0 49 1 NA "3.36" 607.96 NA NA 3 5 30 0 67 1
"335" 335 335 "Air Force One" "Sony" 315.2 173 142.2 "July 25" 1997 "Action Thriller" "R" 2981 6.4 "Action" "Thriller" NA 124 NA "Wolfgang Petersen" "" "Harrison Ford" "Gary Oldman" 85 "ss" "airforceone" 0 0 0 53 67 2.04 "4.59" 327.91 NA 161.11 10 8 32 24 36 44
"336" 336 336 "Chicken Little" "BV" 314.4 135.4 179 "November 4" 2005 "Animation" "G" 3658 5.8 "Animation" "" 40 81 23 "Mark Dindal" "" "Zach Braff" "Garry Marshall" 150 "ns" "chickenlittle" 0 0 0 NA NA 0.9 "6.41" 183.77 54.29 203.59 0 3 11 13 40 14
"337" 337 337 "As Good as It Gets" "Sony" 314.2 148.5 165.7 "December 23" 1997 "Romantic Comedy" "PG" NA 7.7 "Romantic" "Comedy" NA 139 NA "James L. Brooks" "" "Jack Nicholson" "Helen Hunt" NA "hs" "asgoodasitgets" 0 0 0 76 75 NA "4.59" 281.47 NA NA 45 73 84 47 95 65
"338" 338 338 "A Beautiful Mind" "Uni." 313.5 170.7 142.8 "December 21" 2001 "Period Drama" "PG-13" 1837 8.2 "Period" "Drama" NA 136 NA "Ron Howard" "" "Russell Crowe" "Ed Harris" 50 "hs" "abeautifulmind" 0 0 0 204 63 3.41 "5.66" 262.38 NA 76.86 38 65 36 25 66 49
"339" 339 339 "The Good Dinosaur" "BV" 313.3 122 191.3 "November 25" 2015 "Animation" "PG-13" NA 6.9 "Animation" "" NA 100 NA "Peter Sohn" "" "Jeffrey Wright" "Frances McDormand" 58 "hs" "thegooddinosaur" 0 0 0 NA NA 2.1 "8.43" 125.91 NA 59.86 14 33 11 54 24 50
"340" 340 340 "Maze Runner: The Scorch Trials" "Fox" 312.3 81.7 230.6 "September 18" 2015 "AA" "PG" NA 6.4 "AA" "" NA 131 NA "Wes Ball" "" "Dylan O'Brien" "Ki Hong Lee" NA "ns" "mazerunner:thescorchtrials" 0 0 1 NA NA NA "8.43" 84.32 NA NA 2 0 6 NA 3 NA
"341" 341 341 "Austin Powers: The Spy Who Shagged Me" "NL" 312 206 106 "June 11" 1999 "Comedy" "PG-13" 3792 6.6 "Comedy" "" 30.3 95 18 "Jay Roach" "" "Mike Myers" "Heather Graham" 61 "ss" "austinpowers:thespywhoshaggedme" 0 0 1 85 39 3.38 "5.08" 352.8 51.89 104.47 9 5 28 5 38 10
"342" 342 342 "Ocean's Thirteen" "WB" 311.3 117.2 194.2 "June 8" 2007 "Crime Comedy" "PG-13" NA 6.9 "Crime" "Comedy" NA 113 NA "Steven Soderbergh" "" "George Clooney" "Brad Pitt" 33 "ss" "ocean'sthirteen" 0 0 0 NA NA 3.55 "6.88" 148.2 NA 41.73 29 74 87 64 193 136
"343" 343 343 "Little Fockers" "Uni." 310.7 148.4 162.2 "December 22" 2010 "Comedy" "PG-13" 3565 5.5 "Comedy" "" 36.1 98 15 "Paul Weitz" "" "Robert De Niro" "Ben Stiller" NA "hs" "littlefockers" 0 0 0 NA NA NA "7.89" 163.63 39.81 NA 2 9 48 13 82 52
"344" 344 344 "Bolt" "BV" 310 114.1 195.9 "November 21" 2008 "Animation" "PG-13" 3675 6.9 "Animation" "" 30.8 96 12.3 "Byron Howard" "Chris Williams" "John Travolta" "Miley Cyrus" 100 "hs" "bolt" 0 0 0 177 78 1.14 "7.18" 138.25 37.32 121.17 1 7 40 21 49 47
"345" 345 345 "Ransom" "BV" 309.5 136.5 173 "November 8" 1996 "Thriller" "PG" 3654 6.6 "Thriller" "" 26.2 121 14 "Ron Howard" "" "Mel Gibson" "Rene Russo" 150 "ns" "ransom" 0 0 0 69 63 0.91 "4.42" 268.68 51.57 295.25 38 65 32 4 30 28
"346" 346 346 "Runaway Bride" "Par." 309.5 152.3 157.2 "July 30" 1999 "Romantic Comedy" "R" 2768 5.4 "Romantic" "Comedy" NA 116 NA "Garry Marshall" "" "Julia Roberts" "Richard Gere" NA "ss" "runawaybride" 0 0 0 NA NA NA "5.08" 260.83 NA NA 13 14 51 20 86 26
"347" 347 347 "The Blind Side" "WB" 309.2 256 53.2 "November 20" 2009 "Sports Drama" "PG" 3240 7.7 "Sports" "Drama" NA 126 NA "John Lee Hancock" "" "Sandra Bullock" "Tim McGraw" 70 "hs" "theblindside" 0 0 0 NA NA 3.66 "7.50" 296.96 NA 81.2 3 5 72 3 102 13
"348" 348 348 "The Polar Express" "WB" 307.5 183.4 124.1 "November 10" 2004 "Animation" "PG-13" 3407 6.6 "Animation" "" 34.1 100 28 "Robert Zemeckis" "" "Tom Hanks" "Leslie Zemeckis" 29 "ns" "thepolarexpress" 0 0 0 NA NA 6.32 "6.21" 256.94 47.77 40.63 33 33 76 1 115 1
"349" 349 349 "The Fault in our Stars" "Fox" 307.2 124.9 182.3 "June 6" 2014 "Drama" "G" 3650 7.9 "Drama" "" 23.3 125 17.3 "Josh Boone" "" "Shailene Woodley" "Ansel Elgort" 165 "ss" "thefaultinourstars" 0 0 0 NA NA 0.76 "8.17" 133 24.81 175.7 1 1 31 8 56 9
"350" 350 350 "The Pursuit of Happyness" "Sony" 307.1 163.6 143.5 "December 15" 2006 "Drama" "PG-13" 3340 7.9 "Drama" "" 48 116 18 "Gabriele Muccino" "" "Will Smith" "Jaden Smith" 12 "hs" "thepursuitofhappyness" 0 0 0 NA NA 13.63 "6.55" 217.3 63.76 15.94 12 23 56 8 106 19
"351" 351 351 "Rise of the Guardians" "P/DW" 306.9 103.4 203.5 "November 21" 2012 "Animation" "PG-13" 3169 7.3 "Animation" "" 26.5 97 13.4 "Peter Ramsey" "" "Chris Pine" "Alec Baldwin" 55 "hs" "riseoftheguardians" 0 0 0 NA NA 1.88 "7.96" 113.01 28.96 60.11 3 5 6 40 15 87
"352" 352 352 "Chicago" "Mira." 306.8 170.7 136.1 "December 27" 2002 "Musical" "PG" 3672 7.2 "Musical" "" 23.8 107 20.3 "Rob Marshall" "" "Taye Diggs" "Cliff Saunders" 145 "hs" "chicago" 0 0 0 244 75 1.18 "5.81" 255.61 35.64 217.13 14 21 7 NA 19 NA
"353" 353 353 "The Expendables 2" "LGF" 305.4 85 220.4 "January 29" 2016 "Animation" "PG-13" NA 6.7 "Animation" "" NA 95 NA "Simon West" "" "Sylvester Stallone" "Jason Statham" 45 "ns" "theexpendables2" 0 0 1 NA NA 1.89 "0" Inf NA Inf 4 9 55 1 58 2
"354" 354 354 "Wrath of the Titans" "WB" 305.3 83.7 221.6 "August 17" 2012 "Action" "R" 3355 5.8 "Action" "" 28.6 102 14 "Jonathan Liebesman" "" "Sam Worthington" "Liam Neeson" 100 "ss" "wrathofthetitans" 0 0 0 NA NA 0.84 "7.96" 91.48 31.26 109.3 2 2 6 15 14 35
"355" 355 355 "A Good Day to Die Hard" "Fox" 304.7 67.3 237.3 "March 30" 2012 "Fantasy" "PG-13" 3545 5.3 "Fantasy" "" 33.5 99 13 "John Moore" "" "Bruce Willis" "Jai Courtney" 150 "ns" "agooddaytodiehard" 0 0 0 NA NA 0.45 "7.96" 73.56 36.61 163.94 NA NA 21 0 37 2
"356" 356 356 "Mulan" "BV" 304.3 120.6 183.7 "February 14" 2013 "Action" "R" 3555 7.5 "Action" "" 24.8 97 14.1 "Tony Bancroft" "Barry Cook" "Ming-Na Wen" "Lea Salonga" 92 "ns" "mulan" 0 0 0 73 75 1.31 "8.13" 129.06 26.54 98.45 2 0 2 2 4 5
"357" 357 357 "Close Encounters of the Third Kind" "Col." 303.8 132.1 171.7 "June 19" 1998 "Animation" "G" NA 7.7 "Animation" "" NA 88 NA "Steven Spielberg" "" "Richard Dreyfuss" "Fran_ois Truffaut" NA "ss" "closeencountersofthethirdkind" 0 0 0 NA NA NA "4.69" 245.05 NA NA 175 168 16 30 16 27
"358" 358 358 "Battleship" "Uni." 303 65.4 237.6 "November 16" 1977 "Sci-Fi" "PG" NA 5.9 "Sci-Fi" "" NA 137 NA "Peter Berg" "" "Taylor Kitsch" "Alexander Skarsg_rd" 20 "ns" "battleship" 0 0 0 NA NA 3.27 "2.23" 255.15 NA 78.03 1 15 2 7 7 10
"359" 359 359 "Liar Liar" "Uni." 302.7 181.4 121.3 "May 18" 2012 "Action" "PG-13" 3702 6.8 "Action" "" NA 131 NA "Tom Shadyac" "" "Jim Carrey" "Maura Tierney" 209 "ns" "liarliar" 0 0 0 53 70 0.87 "7.96" 198.26 NA 228.43 1 0 45 2 88 9
"360" 360 360 "G.I. Joe: The Rise of Cobra" "Par." 302.5 150.2 152.3 "March 21" 1997 "Fantasy Comedy" "PG-13" 2909 5.8 "Fantasy" "Comedy" 31.4 86 30 "Stephen Sommers" "" "Adewale Akinnuoye-Agbaje" "Christopher Eccleston" NA "ns" "g.i.joe:theriseofcobra" 0 0 1 NA NA NA "4.59" 284.69 59.52 NA 1 3 1 7 8 8
"361" 361 361 "Hook" "TriS" 300.9 119.7 181.2 "August 7" 2009 "Action" "PG-13" 4007 6.7 "Action" "" 54.7 118 13 "Steven Spielberg" "" "Dustin Hoffman" "Robin Williams" 175 "ss" "hook" 0 0 0 40 19 0.68 "7.50" 138.85 63.45 203 175 168 58 63 49 80
"362" 362 362 "Rocky IV" "UA" 300.5 127.9 172.6 "December 11" 1991 "Fantasy" "PG" NA 6.7 "Fantasy" "" NA 142 NA "Sylvester Stallone" "" "Sylvester Stallone" "Talia Shire" 70 "hs" "rockyiv" 0 0 0 NA NA 1.83 "4.21" 264.31 NA 144.66 55 58 55 5 58 7
"363" 363 363 "Rambo: First Blood Part II" "TriS" 300.4 150.4 150 "November 27" 1985 "Sports Drama" "PG" NA 6.4 "Sports" "Drama" NA 91 NA "George P. Cosmatos" "" "Sylvester Stallone" "Richard Crenna" NA "hs" "rambo:firstbloodpartii" 0 0 1 NA NA NA "3.55" 368.59 NA NA 1 2 55 2 58 9
"364" 364 364 "Van Helsing" "Uni." 300.3 120.2 180.1 "May 22" 1985 "Action" "R" NA 6 "Action" "" NA 94 NA "Stephen Sommers" "" "Hugh Jackman" "Kate Beckinsale" NA "ss" "vanhelsing" 0 0 0 NA NA NA "3.55" 294.57 NA NA 1 3 20 5 71 21
"365" 365 365 "Superman" "WB" 300.2 134.2 166 "May 7" 2004 "Period Horror" "PG-13" 3580 7.3 "Period" "Horror" 51.7 130 16 "Richard Donner" "" "Marlon Brando" "Gene Hackman" 160 "ns" "superman" 2 1 0 258 64 0.84 "6.21" 188.01 72.43 224.15 9 7 30 31 32 37
"366" 366 366 "Stuart Little" "Sony" 300.1 140 160.1 "December 15" 1978 "AA" "PG" NA 5.9 "AA" "" NA 143 NA "Rob Minkoff" "" "Michael J. Fox" "Geena Davis" 55 "hs" "stuartlittle" 0 0 0 97 54 2.55 "2.34" 520.51 NA 204.49 1 4 29 8 55 22
"367" 367 367 "Beverly Hills Cop II" "Par." 300 153.7 146.3 "December 17" 1999 "Family Adventure" "PG" 3151 6.4 "Family" "Adventure" NA 84 NA "Tony Scott" "" "Eddie Murphy" "Judge Reinhold" 133 "hs" "beverlyhillscopii" 0 0 0 49 1 1.16 "5.08" 263.23 NA 227.78 5 13 30 0 67 1
"368" 368 368 "Kung Fu Panda 3" "Fox" 299.6 121.4 178.2 "May 20" 1987 "Action Comedy" "R" NA 7.8 "Action" "Comedy" NA 103 NA "Alessandro Carloni" "Jennifer Yuh Nelson" "Jack Black" "Bryan Cranston" NA "ss" "kungfupanda3" 0 0 1 NA NA NA "3.91" 270.12 NA NA 0 2 8 45 43 75
"369" 369 369 "My Best Friend's Wedding" "Sony" 299.3 127.1 172.2 "June 20" 1997 "Romantic Comedy" "PG-13" NA 6.3 "Romantic" "Comedy" NA 105 NA "P.J. Hogan" "" "Julia Roberts" "Dermot Mulroney" 38 "ss" "mybestfriend'swedding" 0 0 0 56 59 3.34 "4.59" 240.91 NA 72.03 3 5 51 7 86 9
"370" 370 370 "Real Steel" "BV" 299.3 85.5 213.8 "October 7" 2011 "Action Drama" "PG-13" 3440 7.1 "Action" "Drama" 27.3 127 19 "Shawn Levy" "" "Hugh Jackman" "Dakota Goyo" NA "ns" "realsteel" 0 0 0 NA NA NA "7.93" 93.8 29.95 NA 3 1 20 1 71 4
"371" 371 371 "The Divergent Series: Insurgent" "LG/S" 297.3 130.2 167.1 "March 20" 2015 "AA" "PG-13" 3875 6.3 "AA" "" 52.3 119 16 "Robert Schwentke" "" "Kate Winslet" "Jai Courtney" 110 "ns" "thedivergentseries:insurgent" 0 0 1 NA NA 1.18 "8.43" 134.37 53.98 113.52 3 3 80 0 144 2
"372" 372 372 "Dr. Seuss' Horton Hears a Who!" "Fox" 297.1 154.5 142.6 "March 14" 2008 "Animation" "G" NA 6.9 "Animation" "" NA 88 NA "Jimmy Hayward" "Steve Martino" "Jim Carrey" "Steve Carell" 85 "ns" "dr.seuss'hortonhearsawho!" 0 0 0 131 67 1.82 "7.18" 187.21 NA 102.99 NA NA 45 32 88 115
"373" 373 373 "Look Who's Talking" "TriS" 297 140.1 156.9 "October 13" 1989 "Family Comedy" "PG-13" NA 5.8 "Family" "Comedy" NA 93 NA "Amy Heckerling" "" "John Travolta" "Kirstie Alley" NA "ns" "lookwho'stalking" 0 0 0 NA NA NA "3.97" 307.02 NA NA 3 2 40 6 49 33
"374" 374 374 "Austin Powers in Goldmember" "NL" 296.7 213.3 83.3 "July 26" 2002 "Comedy" "PG-13" NA 6.2 "Comedy" "" NA 94 NA "Jay Roach" "" "Mike Myers" "Beyonc¨¦ Knowles" 63 "ss" "austinpowersingoldmember" 0 0 0 NA NA 3.39 "5.81" 319.4 NA 94.34 9 5 28 36 38 97
"375" 375 375 "X-Men" "Fox" 296.3 157.3 139 "July 14" 2000 "AA" "PG-13" 3112 7.4 "AA" "" NA 104 NA "Bryan Singer" "" "Hugh Jackman" "Patrick Stewart" 75 "ss" "xmen" 4 1 0 166 70 2.1 "5.39" 253.9 NA 121.06 14 20 20 9 71 36
"376" 376 376 "Resident Evil: Afterlife" "SGem" 296.2 60.1 236.1 "September 10" 2010 "Action Horror" "R" 3209 6.3 "Action" "Horror" 26.7 100 8 "Russell Mulcahy" "" "Milla Jovovich" "Oded Fehr" 60 "ns" "residentevil:afterlife" 0 0 1 NA NA 1 "7.89" 66.27 29.44 66.16 1 4 3 NA 16 NA
"377" 377 377 "Ghostbusters" "Col." 295.2 242.2 53 "June 8" 1984 "Horror Comedy" "PG" 1506 7.8 "Horror" "Comedy" NA 107 NA "Ivan Reitman" "" "Bill Murray" "Dan Aykroyd" 30 "ss" "ghostbusters" 0 0 0 NA NA 8.07 "3.36" 627.12 NA 77.68 8 11 49 3 63 14
"378" 378 378 "Shutter Island" "Par." 294.8 128 166.8 "February 19" 2010 "Period Drama" "R" 3356 8.1 "Period" "Drama" 41.1 138 16 "Martin Scorsese" "" "Leonardo DiCaprio" "Mark Ruffalo" 80 "ns" "shutterisland" 0 0 0 NA NA 1.6 "7.89" 141.14 45.32 88.21 135 185 85 26 195 108
"379" 379 379 "Doctor Dolittle" "Fox" 294.5 144.2 150.3 "June 26" 1998 "Family Comedy" "PG-13" NA 5.3 "Family" "Comedy" NA 85 NA "Betty Thomas" "" "Eddie Murphy" "Ossie Davis" NA "ss" "doctordolittle" 0 0 0 NA NA NA "4.69" 267.49 NA NA 8 13 30 11 67 15
"380" 380 380 "Salt" "Sony" 293.5 118.3 175.2 "July 23" 2010 "Action Thriller" "PG-13" 3612 6.4 "Action" "Thriller" 36 99 14 "Phillip Noyce" "" "Angelina Jolie" "Liev Schreiber" 110 "ss" "salt" 0 0 0 48 85 1.08 "7.89" 130.44 39.7 121.29 23 10 47 11 93 25
"381" 381 381 "G-Force" "BV" 292.8 119.4 173.4 "July 24" 2009 "Family Adventure" "PG" 3697 5.1 "Family" "Adventure" 31.7 90 19 "Hoyt Yeatman" "" "Bill Nighy" "Will Arnett" 150 "ss" "gforce" 0 0 0 NA NA 0.8 "7.50" 138.5 36.77 174 2 4 15 5 25 20
"382" 382 382 "What Lies Beneath" "DW" 291.4 155.5 136 "July 21" 2000 "Horror" "PG-13" 2925 6.6 "Horror" "" 29.7 130 28 "Robert Zemeckis" "" "Michelle Pfeiffer" "Katharine Towne" 100 "ss" "whatliesbeneath" 0 0 0 NA NA 1.55 "5.39" 250.99 47.94 161.41 33 33 23 NA 36 NA
