Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	Imdb_id	star1	star2	director1	director2
133	133	Brave	BV	539	237.3	0.44	301.7	0.56	2012	7.2	tt1217209	Kelly Macdonald	Billy Connolly	Mark Andrews	Brenda Chapman
134	134	The Empire Strikes Back	Fox	538.4	290.5	0.54	247.9	0.46	1980^	8.8	tt0080684	Mark Hamill	Harrison Ford	Irvin Kershner	
135	135	Madagascar	DW	532.7	193.6	0.363	339.1	0.637	2005	6.9	tt0351283	Ben Stiller	Chris Rock	Eric Darnell	Tom McGrath
136	136	Deadpool	Fox	529.6	263.1	0.497	266.5	0.503	2016	8.5	tt1431045	Ryan Reynolds	Karan Soni	Tim Miller	
137	137	Godzilla (2014)	WB	529.1	200.7	0.379	328.4	0.621	2014	6	tt0188640	Takehiro Murata	Hiroshi Abe	Takao Okawara	
138	138	The Simpsons Movie	Fox	527.1	183.1	0.347	343.9	0.653	2007	7.4	tt0462538	Dan Castellaneta	Julie Kavner	David Silverman	
139	139	Sherlock Holmes	WB	524	209	0.399	315	0.601	2009	7.6	tt0988045	Robert Downey Jr.	Jude Law	Guy Ritchie	
140	140	WALL-E	BV	521.3	223.8	0.429	297.5	0.571	2008	8.4	tt0910970	Ben Burtt	Elissa Knight	Andrew Stanton	
141	141	Terminator 2: Judgment Day	TriS	519.8	204.8	0.394	315	0.606	1991	8.5	tt0103064	Arnold Schwarzenegger	Linda Hamilton	James Cameron	
142	142	Ant-Man	BV	519.3	180.2	0.347	339	0.653	2015	7.4	tt0478970	Paul Rudd	Michael Douglas	Peyton Reed	
143	143	Meet the Fockers	Uni.	516.6	279.3	0.541	237.4	0.459	2004	6.3	tt0290002	Robert De Niro	Ben Stiller	Jay Roach	
144	144	Ghost	Par.	505.7	217.6	0.43	288.1	0.57	1990	7	tt0099653	Patrick Swayze	Demi Moore	Jerry Zucker	
145	145	Aladdin	BV	504.1	217.4	0.431	286.7	0.569	1992	8	tt0103639	Scott Weinger	Robin Williams	Ron Clements	John Musker
146	146	Rio 2	Fox	500.1	131.5	0.263	368.6	0.737	2014	6.4	tt2357291	Jake T. Austin	Carlinhos Brown	Carlos Saldanha	
147	147	Troy	WB	497.4	133.4	0.268	364	0.732	2004	7.2	tt0332452	Julian Glover	Brian Cox	Wolfgang Petersen	
148	148	How to Train Your Dragon	P/DW	494.9	217.6	0.44	277.3	0.56	2010	8.2	tt0892769	Jay Baruchel	Gerard Butler	Dean DeBlois	Chris Sanders
149	149	Twister	WB	494.5	241.7	0.489	252.8	0.511	1996	6.3	tt0117998	Helen Hunt	Bill Paxton	Jan de Bont	
150	150	Teenage Mutant Ninja Turtles (2014)	Par.	493.3	191.2	0.388	302.1	0.612	2014	6.3	tt0453556	Chris Evans	Sarah Michelle Gellar	Kevin Munroe	
151	151	Oz The Great and Powerful	BV	493.3	234.9	0.476	258.4	0.524	2013	6.4	tt1623205	James Franco	Mila Kunis	Sam Raimi	
152	152	Clash of the Titans (2010)	WB	493.2	163.2	0.331	330	0.669	2010	5.8	tt1646987	Sam Worthington	Liam Neeson	Jonathan Liebesman	
153	153	Angels & Demons	Sony	485.9	133.4	0.274	352.6	0.726	2009	6.7	tt0808151	Tom Hanks	Ewan McGregor	Ron Howard	
154	154	Toy Story 2	BV	485	245.9	0.507	239.2	0.493	1999^	7.9	tt0120363	Tom Hanks	Tim Allen	John Lasseter	Ash Brannon
155	155	Rio	Fox	484.6	143.6	0.296	341	0.704	2011	7	tt1436562	Karen Disher	Jason Fricchione	Carlos Saldanha	
156	156	Bruce Almighty	Uni.	484.6	242.8	0.501	241.8	0.499	2003	6.7	tt0315327	Jim Carrey	Morgan Freeman	Tom Shadyac	
157	157	Shrek	DW	484.4	267.7	0.553	216.7	0.447	2001	7.9	tt0126029	Mike Myers	Eddie Murphy	Andrew Adamson	Vicky Jenson
158	158	Saving Private Ryan	DW	481.8	216.5	0.449	265.3	0.551	1998	8.6	tt0120815	Tom Hanks	Tom Sizemore	Steven Spielberg	
159	159	Rise of the Planet of the Apes	Fox	481.8	176.8	0.367	305	0.633	2011	7.6	tt1318514	Andy Serkis	Karin Konoval	Rupert Wyatt	
160	160	Mr. & Mrs. Smith	Fox	478.2	186.3	0.39	291.9	0.61	2005	6.5	tt0356910	Brad Pitt	Angelina Jolie	Doug Liman	
161	161	Home Alone	Fox	476.7	285.8	0.599	190.9	0.401	1990	7.5	tt0099785	Macaulay Culkin	Joe Pesci	Chris Columbus	
162	162	Return of the Jedi	Fox	475.1	309.3	0.651	165.8	0.349	1983^	8.4	tt0086190	Mark Hamill	Harrison Ford	Richard Marquand	
163	163	Charlie and the Chocolate Factory	WB	475	206.5	0.435	268.5	0.565	2005	6.7	tt0367594	Johnny Depp	Freddie Highmore	Tim Burton	
164	164	Indiana Jones and the Last Crusade	Par.	474.2	197.2	0.416	277	0.584	1989	8.3	tt0097576	Harrison Ford	Sean Connery	Steven Spielberg	
165	165	San Andreas	WB	473.8	155.2	0.328	318.6	0.672	2015	6.1	tt2126355	Dwayne Johnson	Carla Gugino	Brad Peyton	
166	166	Wreck-It Ralph	BV	471.2	189.4	0.402	281.8	0.598	2012	7.8	tt1772341	John C. Reilly	Sarah Silverman	Rich Moore	
167	167	Jaws	Uni.	470.7	260	0.552	210.7	0.448	1975	8.1	tt0073195	Roy Scheider	Robert Shaw	Steven Spielberg	
168	168	The LEGO Movie	WB	469.2	257.8	0.549	211.4	0.451	2014	7.8	tt1490017	Will Arnett	Elizabeth Banks	Phil Lord	Christopher Miller
169	169	Hotel Transylvania 2	Sony	469	169.7	0.362	299.4	0.638	2015	6.8	tt2510894	Adam Sandler	Andy Samberg	Genndy Tartakovsky	
170	170	The Hangover	WB	467.5	277.3	0.593	190.2	0.407	2009	7.8	tt1119646	Bradley Cooper	Ed Helms	Todd Phillips	
171	171	Star Trek Into Darkness	Par.	467.4	228.8	0.489	238.6	0.511	2013	7.8	tt1408101	Chris Pine	Zachary Quinto	J.J. Abrams	
172	172	The Matrix	WB	463.5	171.5	0.37	292	0.63	1999	8.7	tt0133093	Keanu Reeves	Laurence Fishburne	Lana Wachowski	Lilly Wachowski
173	173	Pretty Woman	BV	463.4	178.4	0.385	285	0.615	1990	6.9	tt0100405	Richard Gere	Julia Roberts	Garry Marshall	
