"rank"	"reviewnum"	"title"	"tomato_rating"	"year"	"title1"
"250"	49	50	"Waterworld "	"42%"	"1995"	"waterworld"
"251"	50	58	"Batman Forever "	"41%"	"1995"	"batmanforever"
"252"	51	47	"The Net "	"36%"	"1995"	"thenet"
"253"	52	44	"Hackers "	"32%"	"1995"	"hackers"
"254"	53	45	"Congo "	"22%"	"1995"	"congo"
"255"	54	47	"Showgirls "	"19%"	"1995"	"showgirls"
"256"	55	51	"Judge Dredd "	"18%"	"1995"	"judgedredd"
"257"	56	46	"Assassins "	"15%"	"1995"	"assassins"
"258"	1	44	"When We Were Kings "	"98%"	"1996"	"whenwewerekings"
"259"	2	86	"Fargo "	"94%"	"1996"	"fargo"
"260"	3	54	"Big Night "	"96%"	"1996"	"bignight"
"261"	4	51	"Sling Blade "	"96%"	"1996"	"slingblade"
"262"	5	55	"Hamlet "	"95%"	"1996"	"hamlet"
"263"	6	72	"James and the Giant Peach "	"93%"	"1996"	"jamesandthegiantpeach"
"264"	7	55	"Star Trek: First Contact "	"93%"	"1996"	"startrek:firstcontact"
"265"	8	54	"That Thing You Do! "	"93%"	"1996"	"thatthingyoudo!"
"266"	9	46	"Lone Star "	"93%"	"1996"	"lonestar"
"267"	10	54	"Waiting for Guffman "	"91%"	"1996"	"waitingforguffman"
"268"	11	75	"Trainspotting "	"89%"	"1996"	"trainspotting"
"269"	12	43	"Shine "	"91%"	"1996"	"shine"
"270"	13	51	"Chungking Express "	"90%"	"1996"	"chungkingexpress"
"271"	14	41	"Get on the Bus "	"88%"	"1996"	"getonthebus"
"272"	15	53	"The People Vs. Larry Flynt "	"87%"	"1996"	"thepeoplevs.larryflynt"
"273"	16	53	"Swingers "	"87%"	"1996"	"swingers"
"274"	17	56	"Breaking the Waves "	"86%"	"1996"	"breakingthewaves"
"275"	18	51	"Flirting With Disaster "	"86%"	"1996"	"flirtingwithdisaster"
"276"	19	65	"Bottle Rocket "	"85%"	"1996"	"bottlerocket"
"277"	20	76	"The English Patient "	"84%"	"1996"	"theenglishpatient"
"278"	21	59	"Jerry Maguire "	"85%"	"1996"	"jerrymaguire"
"279"	22	44	"Fly Away Home "	"86%"	"1996"	"flyawayhome"
"280"	23	53	"Courage Under Fire "	"85%"	"1996"	"courageunderfire"
"281"	24	48	"Emma "	"83%"	"1996"	"emma"
"282"	25	40	"Cold Comfort Farm "	"83%"	"1996"	"coldcomfortfarm"
"283"	26	47	"Looking for Richard "	"81%"	"1996"	"lookingforrichard"
"284"	27	54	"Mystery Science Theater 3000: The Movie "	"80%"	"1996"	"mysterysciencetheater3000:themovie"
"285"	28	51	"Eve's Bayou "	"80%"	"1996"	"eve'sbayou"
"286"	29	49	"Marvin's Room "	"80%"	"1996"	"marvin'sroom"
"287"	30	65	"Scream "	"78%"	"1996"	"scream"
"288"	31	47	"Beautiful Girls "	"79%"	"1996"	"beautifulgirls"
"289"	32	47	"The Birdcage "	"79%"	"1996"	"thebirdcage"
"290"	33	43	"Everyone Says I Love You "	"79%"	"1996"	"everyonesaysiloveyou"
"291"	34	45	"Michael Collins "	"78%"	"1996"	"michaelcollins"
"292"	35	69	"Ransom "	"75%"	"1996"	"ransom"
"293"	36	54	"Sleepers "	"74%"	"1996"	"sleepers"
"294"	37	43	"Primal Fear "	"74%"	"1996"	"primalfear"
"295"	38	52	"The Hunchback of Notre Dame "	"73%"	"1996"	"thehunchbackofnotredame"
"296"	39	60	"Romeo + Juliet "	"72%"	"1996"	"romeo+juliet"
"297"	40	54	"Beavis and Butt-head Do America "	"72%"	"1996"	"beavisandbutt-headdoamerica"
"298"	41	48	"Tin Cup "	"69%"	"1996"	"tincup"
"299"	42	58	"The Crucible "	"67%"	"1996"	"thecrucible"
"300"	43	52	"The Long Kiss Goodnight "	"67%"	"1996"	"thelongkissgoodnight"
"301"	44	51	"A Time to Kill "	"67%"	"1996"	"atimetokill"
"302"	45	64	"The Rock "	"66%"	"1996"	"therock"
"303"	46	55	"The Nutty Professor "	"64%"	"1996"	"thenuttyprofessor"
"304"	47	51	"Mission: Impossible "	"63%"	"1996"	"mission:impossible"
"305"	48	46	"From Dusk Till Dawn "	"63%"	"1996"	"fromdusktilldawn"
"306"	49	51	"She's the One "	"61%"	"1996"	"she'stheone"
"307"	50	57	"Independence Day "	"60%"	"1996"	"independenceday"
"308"	51	53	"2 Days in the Valley "	"60%"	"1996"	"2daysinthevalley"
"309"	52	53	"Happy Gilmore "	"60%"	"1996"	"happygilmore"
"310"	53	43	"The Preacher's Wife "	"60%"	"1996"	"thepreacher'swife"
"311"	54	50	"Crash "	"58%"	"1996"	"crash"
"312"	55	53	"Twister "	"57%"	"1996"	"twister"
"313"	56	57	"The Cable Guy "	"54%"	"1996"	"thecableguy"
"314"	57	63	"Mars Attacks! "	"52%"	"1996"	"marsattacks!"
"315"	58	47	"John Carpenter's Escape from L.A. "	"53%"	"1996"	"johncarpenter'sescapefroml.a."
"316"	59	47	"Stealing Beauty "	"53%"	"1996"	"stealingbeauty"
"317"	60	46	"The Ghost and the Darkness "	"50%"	"1996"	"theghostandthedarkness"
"318"	61	57	"My Fellow Americans "	"47%"	"1996"	"myfellowamericans"
"319"	62	45	"Multiplicity "	"44%"	"1996"	"multiplicity"
"320"	63	42	"The Phantom "	"43%"	"1996"	"thephantom"
"321"	64	50	"Space Jam "	"36%"	"1996"	"spacejam"
"322"	65	45	"Eraser "	"36%"	"1996"	"eraser"
"323"	66	42	"Mary Reilly "	"26%"	"1996"	"maryreilly"
"324"	67	44	"Four Rooms "	"14%"	"1996"	"fourrooms"
"325"	68	68	"Striptease "	"12%"	"1996"	"striptease"
"326"	69	40	"Spy Hard "	"8%"	"1996"	"spyhard"
"327"	1	108	"L.A. Confidential "	"99%"	"1997"	"l.a.confidential"
"328"	2	55	"The Sweet Hereafter "	"100%"	"1997"	"thesweethereafter"
"329"	3	70	"Good Will Hunting "	"97%"	"1997"	"goodwillhunting"
"330"	4	178	"Titanic "	"88%"	"1997"	"titanic"
"331"	5	85	"Men in Black "	"92%"	"1997"	"meninblack"
"332"	6	44	"The Full Monty "	"95%"	"1997"	"thefullmonty"
"333"	7	83	"Face/Off "	"92%"	"1997"	"face/off"
"334"	8	49	"Ulee's Gold "	"94%"	"1997"	"ulee'sgold"
"335"	9	48	"Mrs. Brown "	"94%"	"1997"	"mrs.brown"
"336"	10	65	"Boogie Nights "	"92%"	"1997"	"boogienights"
"337"	11	83	"Chasing Amy "	"88%"	"1997"	"chasingamy"
"338"	12	54	"In the Company of Men "	"89%"	"1997"	"inthecompanyofmen"
"339"	13	76	"Jackie Brown "	"87%"	"1997"	"jackiebrown"
"340"	14	59	"The Spanish Prisoner "	"88%"	"1997"	"thespanishprisoner"
"341"	15	76	"As Good as It Gets "	"86%"	"1997"	"asgoodasitgets"
"342"	16	55	"Donnie Brasco "	"87%"	"1997"	"donniebrasco"
"343"	17	47	"Affliction "	"87%"	"1997"	"affliction"
"344"	18	72	"Wag the Dog "	"85%"	"1997"	"wagthedog"
"345"	19	52	"Anastasia "	"85%"	"1997"	"anastasia"
"346"	20	48	"Rosewood "	"85%"	"1997"	"rosewood"
"347"	21	61	"The Ice Storm "	"84%"	"1997"	"theicestorm"
"348"	22	52	"Hercules "	"83%"	"1997"	"hercules"
"349"	23	74	"Scream 2 "	"81%"	"1997"	"scream2"
"350"	24	86	"Life Is Beautiful La Vita ü¾Ž†„¼ü¾Ž†„¼ bella) "	"80%"	"1997"	"lifeisbeautifullavitaü¾Ž†„¼ü¾Ž†„¼bella)"
"351"	25	55	"Gattaca "	"82%"	"1997"	"gattaca"
"352"	26	45	"The Rainmaker "	"82%"	"1997"	"therainmaker"
"353"	27	69	"The Boxer "	"80%"	"1997"	"theboxer"
"354"	28	53	"Liar Liar "	"81%"	"1997"	"liarliar"
"355"	29	67	"Grosse Pointe Blank "	"79%"	"1997"	"grossepointeblank"
"356"	30	50	"Breakdown "	"80%"	"1997"	"breakdown"
"357"	31	49	"Private Parts "	"80%"	"1997"	"privateparts"
"358"	32	41	"Soul Food "	"80%"	"1997"	"soulfood"
"359"	33	53	"Air Force One "	"79%"	"1997"	"airforceone"
