Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	star1	star2	director1	dir_win	dir_nomi	st1_won	st1_nomi	st2_won	st2_nomi
102	102	The Martian	Fox	619.7	228.3	0.368	391.4	0.632	2015	8.1	Matt Damon	Jessica Chastain	Ridley Scott	31	87	34	122	70	94
103	103	The Lost World: Jurassic Park	Uni.	618.6	229.1	0.37	389.6	0.63	1997	6.5	Jeff Goldblum	Julianne Moore	Steven Spielberg	175	168	9	24	107	148
104	104	The Passion of the Christ	NM	611.9	370.8	0.606	241.1	0.394	2004^	7.1	Jim Caviezel	Maia Morgenstern	Mel Gibson	32	30	4	6	6	0
105	105	Mamma Mia!	Uni.	609.8	144.1	0.236	465.7	0.764	2008	6.3	Amanda Seyfried	Stellan Skarsg_rd	Phyllida Lloyd	2	3	7	16	9	14
106	106	Life of Pi	Fox	609	125	0.205	484	0.795	2012	8	Suraj Sharma	Irrfan Khan	Ang Lee	96	90	3	8	16	23
107	107	Madagascar: Escape 2 Africa	P/DW	603.9	180	0.298	423.9	0.702	2008	6.7	Ben Stiller	Chris Rock	Eric Darnell	0	2	13	52	18	60
108	108	Casino Royale	Sony	599	167.4	0.28	431.6	0.72	2006	8	Daniel Craig	Eva Green	Martin Campbell	2	10	13	27	3	15
109	109	Tangled	BV	591.8	200.8	0.339	391	0.661	2010	7.8	Mandy Moore	Zachary Levi	Nathan Greno	1	3	6	11	2	13
110	110	War of the Worlds	Par.	591.7	234.3	0.396	357.5	0.604	2005	6.5	Tom Cruise	Dakota Fanning	Steven Spielberg	175	168	39	76	17	26
111	111	Men in Black	Sony	589.4	250.7	0.425	338.7	0.575	1997	7.3	Tommy Lee Jones	Will Smith	Barry Sonnenfeld	7	7	40	89	56	106
112	112	The Croods	Fox	587.2	187.2	0.319	400	0.681	2013	7.3	Nicolas Cage	Emma Stone	Kirk De Micco	0	6	40	60	36	76
113	113	The Hangover Part II	WB	586.8	254.5	0.434	332.3	0.566	2011	6.5	Bradley Cooper	Ed Helms	Todd Phillips	5	4	29	65	4	12
114	114	Quantum of Solace	Sony	586.1	168.4	0.287	417.7	0.713	2008	6.7	Daniel Craig	Olga Kurylenko	Marc Forster	6	13	13	27	2	5
115	115	I Am Legend	WB	585.3	256.4	0.438	329	0.562	2007	7.2	Will Smith	Alice Braga	Francis Lawrence	3	5	56	106	9	6
116	116	Iron Man	Par.	585.2	318.4	0.544	266.8	0.456	2008	7.9	Robert Downey Jr.	Terrence Howard	Jon Favreau	3	8	33	91	33	46
117	117	Night at the Museum	Fox	574.5	250.9	0.437	323.6	0.563	2006	6.4	Ben Stiller	Carla Gugino	Shawn Levy	3	1	13	52	1	8
