"adjusted" "studio" "release_year" "genre" "mpaa" "theater" "rating" "runt" "per" "sh" "shb" "series" "rn" "to_rating" "bb" "adjusted.1" "adbudget" "adow" "dir_win" "dir_nomi" "st1_win" "st1_nomi" "st2_win" "st2_nomi" "genre1"
"134" 317.51 "Fox" 2012 "Animation" "PG" 4164 8.8 100 "ss" 0 0 0 NA NA 1.57 317.51 202.2 72.46 5 2 11 13 32 36 "Animation"
"135" 626.14 "DW" 1980 "Sci-Fi Fantasy" "PG" NA 6.9 129 "ss" 0 0 0 NA NA 10.76 626.14 58.22 NA 0 2 13 52 18 60 "Sci-Fi"
"136" 357.09 "Fox" 2005 "Animation" "PG" 4142 8.5 86 "ss" 0 0 0 NA NA NA 357.09 NA NA NA NA 8 32 0 1 "Animation"
"137" 213.72 "WB" 2014 "Sci-Fi Action" "PG-13" 3952 6 123 "ns" 0 0 0 68 44 1.25 213.72 170.38 99.25 0 1 4 1 4 2 "Sci-Fi"
"138" 231.54 "Fox" 2007 "Animation" "PG-13" 3926 7.4 87 "ss" 0 0 0 218 78 2.44 231.54 94.84 93.58 6 15 8 18 5 25 "Animation"
"139" 242.44 "WB" 2009 "Adventure" "PG-13" 3626 7.6 134 "hs" 0 0 0 NA NA 2.32 242.44 104.4 72.27 8 9 33 91 16 50 "Adventure"
"140" 271.18 "BV" 2008 "Animation" "G" 3992 8.4 97 "ss" 0 0 0 244 85 1.24 271.18 218.11 76.46 32 50 16 37 NA NA "Animation"
"141" 423.22 "TriS" 1991 "Sci-Fi Action" "R" NA 8.5 137 "ss" 0 0 1 67 82 2.01 423.22 210.78 NA 65 54 23 31 9 7 "Sci-Fi"
"142" 185.97 "BV" 2015 "AA" "PG-13" NA 7.4 117 "ss" 1 1 0 NA NA 1.39 185.97 134.16 NA 2 3 7 19 58 36 "AA"
"143" 391.29 "Uni." 2004 "Comedy" "PG-13" 3554 6.3 114 "hs" 0 0 0 NA NA 3.49 391.29 112.08 64.58 9 5 48 82 13 52 "Comedy"
"144" 447.55 "Par." 1990 "Romance" "PG-13" NA 7 128 "ss" 0 0 0 66 62 9.89 447.55 45.25 NA 6 6 5 7 12 28 "Romance"
"145" 455.75 "BV" 1992 "Animation" "G" NA 8 90 "ns" 0 0 0 68 83 7.76 455.75 58.7 NA 7 8 1 2 63 80 "Animation"
"146" 140.03 "Fox" 2014 "Animation" "G" 3975 6.4 101 "ns" 0 0 1 NA NA 1.28 140.03 109.68 41.85 2 12 1 15 2 6 "Animation"
"147" 186.89 "WB" 2004 "Historical Epic" "R" 3411 7.2 163 "ns" 0 0 0 NA NA 0.76 186.89 245.17 65.71 10 8 1 3 9 22 "Historical"
"148" 239.94 "P/DW" 2010 "Animation" "PG" 4060 8.2 98 "ns" 0 0 0 200 87 1.32 239.94 181.94 48.19 7 22 5 10 2 12 "Animation"
"149" 475.74 "WB" 1996 "Action Drama" "PG-13" NA 6.3 113 "ns" 0 0 0 53 45 2.63 475.74 181.09 NA 0 7 47 65 6 22 "Action"
"150" 203.6 "Par." 2014 "AA" "PG-13" 3980 6.3 101 "ss" 0 0 0 50 29 1.53 203.6 133.11 69.86 0 1 4 26 17 29 "AA"
"151" 251.37 "BV" 2013 "Adventure" "PG" 3912 6.4 127 "ns" 0 0 0 NA NA 1.09 251.37 230.07 84.65 10 16 31 90 12 49 "Adventure"
"152" 179.95 "WB" 2010 "Fantasy" "PG-13" 3802 5.8 118 "ns" 0 0 0 NA NA 1.31 179.95 137.83 67.48 2 2 6 14 15 35 "Fantasy"
